주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,289,238,323,373,312
영업이익,-24,-32,6,-53,-35
영업이익(발표기준),-24,-32,6,-53,-35
세전계속사업이익,-71,-41,0,-106,-19
당기순이익,-69,-46,3,-109,-19
  당기순이익(지배),-69,-46,3,-109,-19
  당기순이익(비지배),,,,,
자산총계,314,448,576,698,"1,001"
부채총계,131,242,310,418,687
자본총계,183,206,267,280,315
  자본총계(지배),183,206,267,280,315
  자본총계(비지배),,,,,
자본금,22,25,53,60,64
영업활동현금흐름,-24,-5,2,-86,17
투자활동현금흐름,3,-29,-73,-182,-294
재무활동현금흐름,3,122,7,263,241
CAPEX,12,47,22,158,367
FCF,-36,-52,-20,-243,-350
이자발생부채,45,86,81,306,395
영업이익률,-8.17,-13.29,1.99,-14.20,-11.29
순이익률,-23.92,-19.43,0.87,-29.13,-6.17
ROE(%),-49.15,-23.75,1.18,-39.78,-6.47
ROA(%),-27.29,-12.12,0.55,-17.07,-2.27
부채비율,71.35,117.88,116.17,149.06,218.29
자본유보율,761.71,789.37,430.42,387.04,410.81
EPS(원),-865,-476,28,-927,-151
PER(배),N/A,N/A,191.60,N/A,N/A
BPS(원),"2,155","2,113","2,550","2,227","2,463"
PBR(배),2.68,2.49,2.11,4.23,2.55
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"8,541,550","9,884,845","10,613,511","12,092,926","12,872,836"
