주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,255,324,547,599,794,"1,000"
영업이익,17,51,73,41,78,122
영업이익(발표기준),17,51,73,41,78,
세전계속사업이익,12,52,80,3,70,120
당기순이익,11,65,64,-8,40,91
  당기순이익(지배),11,65,65,-5,51,117
  당기순이익(비지배),,,-1,-2,-11,
자산총계,171,237,419,595,749,
부채총계,145,123,260,310,381,
자본총계,26,113,160,285,368,
  자본총계(지배),26,113,159,276,360,
  자본총계(비지배),,,1,9,8,
자본금,120,144,144,42,45,
영업활동현금흐름,23,55,156,103,213,
투자활동현금흐름,-30,-32,-92,-4,-169,
재무활동현금흐름,8,-1,-93,-44,-30,
CAPEX,8,13,33,72,42,
FCF,15,43,124,32,171,
이자발생부채,60,36,111,156,171,
영업이익률,6.75,15.75,13.41,6.78,9.88,12.20
순이익률,4.42,19.94,11.69,-1.27,5.04,9.10
ROE(%),53.56,92.91,,-2.51,16.15,
ROA(%),7.12,31.71,,-1.50,5.96,
부채비율,558.90,109.02,162.39,108.56,103.60,
자본유보율,-78.35,-21.81,15.04,659.80,786.35,
EPS(원),33,161,157,-13,116,260
PER(배),,,,N/A,33.29,10.81
BPS(원),75,272,382,678,836,
PBR(배),,,,2.48,4.62,
현금DPS(원),0,0,0,0,,
현금배당수익률,,,0.00,0.00,,
현금배당성향(%),,,0.00,0.00,,
발행주식수(보통주),"34,650,987","41,634,755","41,634,755","42,486,655","44,946,655",
