주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,032","1,196","1,281","1,295","1,431"
영업이익,62,68,24,-94,-179
영업이익(발표기준),62,68,24,-94,-179
세전계속사업이익,61,37,-95,-306,-417
당기순이익,61,37,-95,-307,-417
  당기순이익(지배),61,37,-98,-298,-440
  당기순이익(비지배),,,3,-8,23
자산총계,956,"1,005","1,525","1,693","2,813"
부채총계,639,635,"1,142","1,296","1,872"
자본총계,317,370,383,396,940
  자본총계(지배),317,370,367,388,409
  자본총계(비지배),,,17,8,532
자본금,323,356,413,633,155
영업활동현금흐름,164,181,166,156,-165
투자활동현금흐름,17,-183,-484,-273,-551
재무활동현금흐름,-162,17,332,85,862
CAPEX,82,213,499,233,37
FCF,83,-32,-333,-77,-202
이자발생부채,461,443,798,830,957
영업이익률,5.98,5.69,1.86,-7.28,-12.52
순이익률,5.87,3.11,-7.41,-23.70,-29.17
ROE(%),22.21,,-26.47,-79.12,-110.42
ROA(%),5.98,,-7.50,-19.07,-18.52
부채비율,201.37,171.58,297.95,327.02,199.11
자본유보율,-7.16,1.54,-19.67,-43.55,144.04
EPS(원),798,460,"-1,114","-2,598","-2,183"
PER(배),5.55,9.50,N/A,N/A,N/A
BPS(원),"3,996","4,239","3,616","2,496","1,320"
PBR(배),1.11,1.03,1.57,2.60,1.24
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,936,615","8,734,487","10,138,015","15,545,208","30,962,842"
