주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,,,17,130,400,702,"1,106","1,693"
영업이익,,,-81,-5,132,310,542,900
영업이익(발표기준),,,-81,-5,132,,,
세전계속사업이익,,,-230,-14,-244,337,558,940
당기순이익,,,-230,-22,-252,268,446,764
  당기순이익(지배),,,-229,-22,-252,268,446,764
  당기순이익(비지배),,,-1,,,,,
자산총계,,,111,137,"1,336","1,125","1,637","3,112"
부채총계,,,116,159,100,196,262,232
자본총계,,,-6,-23,"1,236",929,"1,375","2,880"
  자본총계(지배),,,-3,-23,"1,236",929,"1,375","2,880"
  자본총계(비지배),,,-2,,,,,
자본금,,,84,84,110,96,96,110
영업활동현금흐름,,,-32,16,81,350,541,929
투자활동현금흐름,,,0,-1,-731,-71,-108,-86
재무활동현금흐름,,,22,-10,893,13,16,26
CAPEX,,,0,0,2,5,5,10
FCF,,,-32,16,79,235,447,708
이자발생부채,,,58,47,3,,,
영업이익률,,,-482.88,-3.48,33.10,44.16,48.97,53.13
순이익률,,,"-1,368.41",-17.24,-63.08,38.27,40.31,45.13
ROE(%),,,,174.08,-41.60,24.81,38.70,35.92
ROA(%),,,,-18.21,-34.28,21.83,32.28,32.17
부채비율,,,"-2,075.24",-702.09,8.08,21.07,19.08,8.07
자본유보율,,,-103.77,-129.34,853.96,,,
EPS(원),,,"-1,380",-135,"-1,349","1,222","2,028","3,476"
PER(배),,,,,N/A,27.67,16.66,9.72
BPS(원),,,-19,-136,"5,623","4,227","6,255","13,102"
PBR(배),,,0.00,0.00,14.57,8.00,5.40,2.58
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,,,,,0.00,0.00,0.00
현금배당성향(%),,,0.00,0.00,,,,
발행주식수(보통주),"12,000,000","13,000,000","16,699,800","16,699,800","21,977,166",,,
