주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,83,69,94,251,375
영업이익,-23,-50,-65,2,-195
영업이익(발표기준),-23,-50,-65,2,-195
세전계속사업이익,-57,-93,-244,79,-311
당기순이익,-190,-208,-255,80,-311
  당기순이익(지배),-182,-204,-254,80,-311
  당기순이익(비지배),-8,-3,-1,,
자산총계,420,435,684,846,993
부채총계,269,213,440,92,58
자본총계,151,222,244,754,935
  자본총계(지배),179,220,244,754,935
  자본총계(비지배),-28,,,,
자본금,89,148,225,393,594
영업활동현금흐름,-28,-89,-135,-92,-227
투자활동현금흐름,-117,-99,-350,77,-174
재무활동현금흐름,139,180,500,42,459
CAPEX,15,11,10,1,110
FCF,-43,-100,-145,-93,-337
이자발생부채,212,161,395,32,9
영업이익률,-27.89,-72.03,-69.66,0.70,-51.98
순이익률,-228.06,-299.93,-271.86,31.77,-82.98
ROE(%),-76.94,-102.33,-109.36,15.98,-36.83
ROA(%),-43.73,-48.55,-45.63,10.43,-33.82
부채비율,177.67,96.00,179.91,12.22,6.22
자본유보율,116.44,58.01,25.78,101.54,63.97
EPS(원),-923,-710,-548,114,-312
PER(배),N/A,N/A,N/A,17.69,N/A
BPS(원),866,635,461,812,790
PBR(배),1.80,2.49,2.74,2.49,1.56
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"21,224,998","35,211,515","53,514,814","93,403,773","118,807,375"
