주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,211,145,38,87,117
영업이익,-101,-61,-21,-1,-49
영업이익(발표기준),-101,-61,-21,-1,-49
세전계속사업이익,-210,-198,-21,-13,-75
당기순이익,-211,-286,-29,-13,-75
  당기순이익(지배),-211,-286,-22,-13,-75
  당기순이익(비지배),,,-7,0,
자산총계,153,42,86,113,127
부채총계,151,138,34,54,71
자본총계,2,-97,51,59,56
  자본총계(지배),2,-97,51,59,56
  자본총계(비지배),,,,0,
자본금,127,157,36,54,98
영업활동현금흐름,-7,-44,-44,-27,-44
투자활동현금흐름,-47,-145,-33,-5,-3
재무활동현금흐름,92,153,92,25,70
CAPEX,3,1,0,4,2
FCF,-10,-45,-45,-31,-46
이자발생부채,62,33,21,35,39
영업이익률,-47.76,-42.21,-55.00,-0.85,-42.34
순이익률,-100.12,-197.71,-76.75,-15.23,-64.34
ROE(%),-463.17,,98.30,-24.03,-130.61
ROA(%),-107.05,,-45.50,-13.36,-62.42
부채비율,"6,221.91",-143.14,66.95,91.34,128.11
자본유보율,-59.74,-131.64,24.48,-1.86,-60.37
EPS(원),"-18,119","-19,277",-940,-181,-562
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),191,"-6,175",703,545,284
PBR(배),147.78,N/A,6.34,8.19,15.70
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"1,270,416","1,566,150","7,291,079","10,862,507","19,633,933"
