주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,82,112,133,207,332,428,703,976
영업이익,-40,-46,-107,-56,23,57,189,293
영업이익(발표기준),-40,-46,-107,-56,23,,,
세전계속사업이익,-56,-157,-147,-89,109,85,195,313
당기순이익,-56,-158,-147,-93,109,76,156,251
  당기순이익(지배),-56,-158,-147,-93,109,76,156,251
  당기순이익(비지배),,,,,,,,
자산총계,190,513,623,669,"1,479","1,425","1,437","1,528"
부채총계,152,563,283,253,934,803,659,499
자본총계,38,-50,339,416,546,622,778,"1,029"
  자본총계(지배),38,-50,339,416,546,622,778,"1,029"
  자본총계(비지배),,,,,,,,
자본금,13,14,41,88,89,89,89,89
영업활동현금흐름,-16,-59,-81,15,62,105,181,288
투자활동현금흐름,-97,-214,-156,95,-174,-118,-191,-186
재무활동현금흐름,56,327,207,37,688,-137,-152,-170
CAPEX,87,127,129,31,161,95,125,120
FCF,-103,-186,-210,-16,-99,-19,48,148
이자발생부채,123,271,173,158,574,,,
영업이익률,-49.02,-40.61,-80.71,-27.04,6.86,13.32,26.88,30.02
순이익률,-68.33,-140.54,-110.71,-45.15,32.76,17.76,22.19,25.72
ROE(%),-122.41,"2,507.06",-101.92,-24.71,22.65,13.02,22.29,27.78
ROA(%),-29.08,-44.84,-25.93,-14.44,10.13,5.23,10.90,16.93
부채비율,400.77,"-1,116.68",83.53,60.86,171.12,129.10,84.70,48.49
자본유보율,174.52,-493.30,712.72,360.01,494.03,,,
EPS(원),-524,"-1,327","-1,077",-540,616,427,876,"1,410"
PER(배),,,N/A,N/A,33.21,39.92,19.46,12.09
BPS(원),350,-408,"2,053","2,366","3,071","3,494","4,370","5,780"
PBR(배),0.00,0.00,5.03,9.68,6.66,4.88,3.90,2.95
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"10,744,520","11,354,472","16,242,630","17,566,359","17,765,959",,,
