주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,410,400,418,426,470
영업이익,-11,2,11,-39,-25
영업이익(발표기준),-11,2,11,-39,-25
세전계속사업이익,-11,1,10,-67,-80
당기순이익,-10,-19,18,-56,-81
  당기순이익(지배),-10,-19,18,-56,-81
  당기순이익(비지배),,,,,
자산총계,309,303,462,534,535
부채총계,144,116,186,323,408
자본총계,165,187,276,211,126
  자본총계(지배),165,187,276,211,126
  자본총계(비지배),,,,,
자본금,123,134,167,167,167
영업활동현금흐름,-25,-10,45,-19,-38
투자활동현금흐름,-22,-24,-113,-30,-22
재무활동현금흐름,0,34,91,113,64
CAPEX,11,12,54,44,31
FCF,-37,-22,-9,-62,-69
이자발생부채,65,48,78,147,212
영업이익률,-2.59,0.54,2.64,-9.21,-5.33
순이익률,-2.32,-4.70,4.32,-13.09,-17.23
ROE(%),-5.67,-10.68,7.78,,-48.04
ROA(%),-3.06,-6.14,4.71,,-15.15
부채비율,87.38,61.96,67.34,153.31,323.46
자본유보율,33.98,46.51,71.03,36.29,-14.17
EPS(원),-39,-73,65,-167,-242
PER(배),N/A,N/A,18.70,N/A,N/A
BPS(원),670,703,832,646,387
PBR(배),2.80,2.04,1.47,2.34,3.15
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"24,613,919","26,863,919","33,433,750","33,433,750","33,433,750"
