주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,121,193,241,254,179
영업이익,-49,-61,9,5,-54
영업이익(발표기준),-49,-61,9,5,-54
세전계속사업이익,-103,-173,17,-32,-132
당기순이익,-108,-169,14,-33,-133
  당기순이익(지배),-102,-160,32,-33,-133
  당기순이익(비지배),-7,-9,-18,,
자산총계,306,932,528,506,536
부채총계,70,437,146,113,219
자본총계,236,495,382,393,317
  자본총계(지배),230,338,382,393,317
  자본총계(비지배),7,,,,
자본금,46,69,71,76,81
영업활동현금흐름,-45,-38,-37,78,-22
투자활동현금흐름,65,-180,-41,-48,11
재무활동현금흐름,32,414,-20,-27,139
CAPEX,17,2,7,13,8
FCF,-63,-39,-44,65,-29
이자발생부채,33,253,89,75,125
영업이익률,-40.96,-31.54,3.67,1.95,-30.00
순이익률,-89.82,-87.60,5.83,-12.89,-74.02
ROE(%),-58.13,-56.39,3.82,-8.45,-37.38
ROA(%),-30.48,-27.28,2.71,-6.33,-25.44
부채비율,29.57,88.14,38.38,28.89,69.25
자본유보율,532.41,468.96,517.71,494.11,363.40
EPS(원),-422,-312,20,-44,-167
PER(배),N/A,N/A,95.83,N/A,N/A
BPS(원),498,487,536,518,392
PBR(배),2.49,2.74,3.56,2.65,3.32
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00
발행주식수(보통주),"46,126,845","69,364,870","71,208,650","75,840,849","80,904,873"
