주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,820,779,677,416,238
영업이익,-111,44,32,-319,-218
영업이익(발표기준),-111,44,32,-319,-218
세전계속사업이익,-226,63,-85,-455,-373
당기순이익,-227,63,-87,-455,-373
  당기순이익(지배),-227,63,-87,-451,-373
  당기순이익(비지배),,,,-5,
자산총계,770,751,973,780,532
부채총계,513,429,468,573,595
자본총계,258,322,504,207,-63
  자본총계(지배),258,322,504,207,-63
  자본총계(비지배),,,,,
자본금,150,150,214,345,20
영업활동현금흐름,16,192,108,-201,-57
투자활동현금흐름,60,-154,-259,27,-8
재무활동현금흐름,-36,-2,89,219,21
CAPEX,109,131,301,36,55
FCF,-93,61,-193,-236,-112
이자발생부채,317,230,289,338,300
영업이익률,-13.48,5.60,4.79,-76.72,-91.48
순이익률,-27.62,8.06,-12.81,-109.58,-156.35
ROE(%),-91.06,21.65,-21.00,-126.69,-517.98
ROA(%),-23.69,8.25,-10.07,-51.95,-56.79
부채비율,199.10,133.13,92.88,276.92,-943.00
자본유보율,82.51,124.83,137.64,-40.37,-416.94
EPS(원),"-20,962","3,606","-4,006","-16,736","-10,312"
PER(배),N/A,6.31,N/A,N/A,N/A
BPS(원),"14,800","18,503","20,403","6,001","-1,547"
PBR(배),1.79,1.23,1.60,3.35,N/A
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"1,740,210","1,740,210","2,471,771","3,448,769","4,078,777"
