주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,202,223,240,288,350,420,477
영업이익,6,2,29,27,32,44,48
영업이익(발표기준),6,2,29,27,32,,
세전계속사업이익,4,1,28,25,40,39,43
당기순이익,4,2,29,25,39,38,37
  당기순이익(지배),4,2,29,25,39,38,
  당기순이익(비지배),,,,,,,
자산총계,162,193,206,251,381,,
부채총계,122,151,142,163,172,,
자본총계,40,42,65,87,209,,
  자본총계(지배),40,42,65,87,209,,
  자본총계(비지배),,,,,,,
자본금,5,5,5,25,32,,
영업활동현금흐름,-3,3,-3,-10,18,,
투자활동현금흐름,1,-30,-1,25,-80,,
재무활동현금흐름,9,25,-2,8,82,,
CAPEX,0,27,0,3,72,,
FCF,-3,-24,-3,-13,-53,,
이자발생부채,71,96,101,98,115,,
영업이익률,2.97,0.84,12.20,9.39,9.13,10.48,10.06
순이익률,1.81,1.01,12.01,8.62,11.02,9.05,7.76
ROE(%),9.51,5.47,54.25,33.25,26.02,,
ROA(%),2.35,1.26,14.47,10.93,12.22,,
부채비율,303.51,361.16,219.16,186.66,82.14,,
자본유보율,701.94,736.75,"1,191.34",330.84,628.49,,
EPS(원),73,45,577,459,647,466,
PER(배),,,,,,39.84,
BPS(원),802,837,"1,291","1,561","3,282",,
PBR(배),0.00,0.00,0.00,0.00,0.00,,
현금DPS(원),10,0,0,0,,,
현금배당수익률,,,,,,,
현금배당성향(%),13.65,0.00,0.00,0.00,,,
발행주식수(보통주),"5,000,000","5,000,000","5,000,000","5,000,000","6,366,346",,
