주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,80,103,115,120,177
영업이익,1,7,31,25,20
영업이익(발표기준),1,7,31,25,20
세전계속사업이익,3,5,36,-113,-8
당기순이익,2,5,30,-117,-7
  당기순이익(지배),2,5,30,-117,-7
  당기순이익(비지배),,,,,1
자산총계,147,125,175,193,380
부채총계,64,35,128,227,115
자본총계,84,90,47,-34,266
  자본총계(지배),84,90,47,-34,267
  자본총계(비지배),,,,,-1
자본금,14,14,11,12,36
영업활동현금흐름,11,17,26,8,11
투자활동현금흐름,-21,-8,-35,-7,-25
재무활동현금흐름,34,-28,11,0,66
CAPEX,19,6,51,7,23
FCF,-8,11,-25,1,-13
이자발생부채,58,28,47,54,81
영업이익률,1.41,6.67,26.87,20.74,11.51
순이익률,2.98,4.46,26.36,-97.05,-3.72
ROE(%),3.92,5.27,44.34,"-1,792.27",
ROA(%),1.84,3.36,20.25,-63.40,
부채비율,76.19,39.41,270.40,-662.49,43.23
자본유보율,472.09,508.14,256.07,-459.94,644.79
EPS(원),9,14,90,-340,-20
PER(배),,,,,N/A
BPS(원),265,281,139,-99,733
PBR(배),,,,,2.77
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"24,852,687","25,379,832","25,379,832","28,044,846","36,454,408"
