주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,402,414,448,709,646
영업이익,37,-8,-31,26,-77
영업이익(발표기준),37,-8,-31,26,-77
세전계속사업이익,-44,63,-62,-71,-33
당기순이익,-35,37,-45,-55,-34
  당기순이익(지배),-35,37,-45,-55,-34
  당기순이익(비지배),,,,,
자산총계,538,532,745,"1,267","1,253"
부채총계,385,242,133,693,528
자본총계,153,289,612,574,725
  자본총계(지배),153,289,612,574,725
  자본총계(비지배),,,,,
자본금,56,62,85,87,100
영업활동현금흐름,17,-18,-64,26,-93
투자활동현금흐름,4,-33,8,-501,-13
재무활동현금흐름,27,49,211,463,108
CAPEX,11,5,13,176,23
FCF,7,-23,-77,-150,-116
이자발생부채,193,146,10,414,395
영업이익률,9.29,-2.03,-7.03,3.63,-11.95
순이익률,-8.66,8.98,-10.15,-7.74,-5.28
ROE(%),-21.69,,-10.09,-9.26,-5.25
ROA(%),-7.03,,-7.12,-5.46,-2.71
부채비율,252.43,83.86,21.68,120.79,72.77
자본유보율,163.92,363.75,613.18,553.88,620.46
EPS(원),-273,289,-259,-281,-160
PER(배),N/A,52.66,N/A,N/A,N/A
BPS(원),"1,199","2,078","3,172","2,907","3,198"
PBR(배),7.78,7.32,2.77,2.45,1.22
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"12,725,575","13,915,285","19,293,017","19,733,222","22,682,585"
