주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,958,952,430,828,"1,352","1,600","1,789"
영업이익,41,74,-103,56,231,294,317
영업이익(발표기준),41,74,-103,56,231,,
세전계속사업이익,-242,60,-120,29,225,293,314
당기순이익,-186,50,-109,22,175,228,251
  당기순이익(지배),-186,50,-109,22,175,228,257
  당기순이익(비지배),,,,,,,
자산총계,"1,337","1,197","1,230","1,269","1,495",,
부채총계,821,644,786,810,869,,
자본총계,516,553,444,459,626,,
  자본총계(지배),516,553,444,459,626,,
  자본총계(비지배),,,,,,,
자본금,52,52,52,52,52,,
영업활동현금흐름,58,48,-142,102,237,,
투자활동현금흐름,2,-11,-28,30,-108,,
재무활동현금흐름,-23,-47,116,-129,10,,
CAPEX,5,7,5,3,91,,
FCF,53,41,-146,99,147,,
이자발생부채,528,490,607,479,499,,
영업이익률,4.31,7.78,-23.93,6.82,17.11,18.38,17.72
순이익률,-19.46,5.22,-25.33,2.70,12.93,14.25,14.03
ROE(%),-28.84,9.29,,4.95,32.21,,
ROA(%),-13.44,3.92,,1.79,12.64,,
부채비율,158.98,116.37,177.11,176.45,138.95,,
자본유보율,773.31,868.61,659.60,722.54,"1,041.60",,
EPS(원),"-1,874",563,"-1,244",259,"2,028","2,095","2,324"
PER(배),,,,,,5.13,4.63
BPS(원),"5,852","6,270","5,152","5,331","7,264",,
PBR(배),0.00,0.00,0.00,0.00,0.00,,
현금DPS(원),0,0,0,100,400,,
현금배당수익률,,,,,,,
현금배당성향(%),0.00,0.00,0.00,37.59,19.21,,
발행주식수(보통주),"8,819,880","8,819,880","8,614,080","8,614,080","8,614,080",,
