주요재무정보,"2018/06
(IFRS별도)","2019/06
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,140,252,104,162,174
영업이익,-9,-5,-6,-43,-93
영업이익(발표기준),-9,-5,-6,-43,-93
세전계속사업이익,-18,-26,-21,-86,-239
당기순이익,-18,-26,-21,-86,-239
  당기순이익(지배),-18,-22,-21,-86,-239
  당기순이익(비지배),,-4,,,0
자산총계,525,561,592,849,"1,025"
부채총계,359,349,380,470,363
자본총계,165,211,212,379,662
  자본총계(지배),165,212,212,379,662
  자본총계(비지배),,,,,0
자본금,114,135,140,219,473
영업활동현금흐름,-33,3,-18,-43,-72
투자활동현금흐름,1,-13,-2,-98,-240
재무활동현금흐름,-30,51,14,123,323
CAPEX,3,5,1,14,16
FCF,-36,-2,-19,-58,-88
이자발생부채,309,288,338,429,196
영업이익률,-6.18,-1.94,-6.18,-26.77,-53.56
순이익률,-12.77,-10.47,-19.98,-53.01,-137.19
ROE(%),-10.01,,-9.76,-29.06,-45.98
ROA(%),-3.31,,-3.59,-11.92,-25.55
부채비율,216.97,165.18,179.47,123.99,54.80
자본유보율,-15.78,6.13,1.76,29.50,18.83
EPS(원),-73,-80,-69,-225,-358
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),656,714,685,786,700
PBR(배),6.62,3.54,2.11,2.04,1.42
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"25,225,258","29,729,567","30,882,368","48,240,098","94,607,904"
