주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,,,84,147,317,532,760,"1,048"
영업이익,,,-59,-52,61,106,184,287
영업이익(발표기준),,,-59,-52,61,,,
세전계속사업이익,,,-83,-93,30,99,171,286
당기순이익,,,-83,-93,30,94,147,246
  당기순이익(지배),,,-80,-92,31,95,148,246
  당기순이익(비지배),,,-3,-1,-1,,,
자산총계,,,110,145,457,586,768,"1,030"
부채총계,,,312,438,126,161,196,217
자본총계,,,-202,-293,331,425,572,812
  자본총계(지배),,,-204,-294,331,426,574,816
  자본총계(비지배),,,2,1,0,,,
자본금,,,1,1,47,47,47,47
영업활동현금흐름,,,-41,-28,99,128,180,280
투자활동현금흐름,,,-31,7,-239,-128,-131,-120
재무활동현금흐름,,,93,15,221,3,3,2
CAPEX,,,0,11,4,13,18,20
FCF,,,-42,-40,96,107,155,240
이자발생부채,,,181,272,66,,,
영업이익률,,,-69.90,-35.66,19.15,19.85,24.16,27.38
순이익률,,,-98.22,-63.06,9.50,17.66,19.29,23.52
ROE(%),,,,36.80,171.21,25.11,29.62,35.48
ROA(%),,,,-72.64,10.01,18.03,21.66,27.42
부채비율,,,-154.59,-149.41,38.11,37.80,34.32,26.71
자본유보율,,,"-37,000.78","-50,959.76",597.30,,,
EPS(원),,,"-1,499","-1,596",382,"1,010","1,573","2,621"
PER(배),,,,,97.82,27.62,17.73,10.65
BPS(원),,,"-3,581","-5,063","3,514","4,529","6,097","8,675"
PBR(배),,,0.00,0.00,10.63,6.16,4.58,3.22
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,,,,,0.00,0.00,0.00
현금배당성향(%),,,0.00,0.00,,,,
발행주식수(보통주),"3,574,400","3,574,400","3,574,400","3,685,760","9,406,136",,,
