주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,179,212,292,330,457,615
영업이익,49,55,90,73,132,163
영업이익(발표기준),49,55,90,73,132,
세전계속사업이익,46,59,99,129,171,160
당기순이익,38,51,85,121,156,130
  당기순이익(지배),38,52,72,108,138,104
  당기순이익(비지배),,-1,12,13,18,
자산총계,205,574,662,806,"1,074","1,340"
부채총계,37,46,60,193,141,510
자본총계,168,528,603,613,933,830
  자본총계(지배),168,525,582,578,850,790
  자본총계(비지배),,,21,34,82,
자본금,15,36,37,110,114,110
영업활동현금흐름,38,38,64,74,109,40
투자활동현금흐름,-6,-168,-158,8,-205,-70
재무활동현금흐름,-5,314,5,13,47,110
CAPEX,3,47,20,30,103,
FCF,35,-9,45,44,7,130
이자발생부채,5,10,18,150,68,
영업이익률,27.21,25.79,30.98,22.21,28.83,26.50
순이익률,20.97,23.98,29.00,36.85,34.11,21.14
ROE(%),27.97,,13.11,18.64,19.34,12.68
ROA(%),20.76,,13.68,16.55,16.58,10.77
부채비율,21.87,8.67,9.88,31.55,15.16,61.45
자본유보율,"1,025.18","1,349.86","1,528.57",464.36,678.03,
EPS(원),230,276,331,492,618,458
PER(배),,23.75,25.79,70.17,59.20,93.14
BPS(원),939,"2,417","2,635","2,642","3,748","3,482"
PBR(배),0.00,2.71,3.24,13.06,9.77,12.26
현금DPS(원),0,0,33,50,50,50
현금배당수익률,,0.00,0.39,0.14,0.14,0.12
현금배당성향(%),0.00,0.00,10.15,10.12,8.21,10.91
발행주식수(보통주),"17,913,000","21,702,996","22,077,996","21,877,008","22,684,891",
