주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,515,500,752,659,631
영업이익,-4,18,65,33,-76
영업이익(발표기준),-4,18,65,33,-76
세전계속사업이익,-22,22,52,-6,-76
당기순이익,-19,20,42,-12,-59
  당기순이익(지배),-19,20,42,-12,-59
  당기순이익(비지배),,,,,
자산총계,285,245,468,735,819
부채총계,295,226,370,451,562
자본총계,-11,20,99,284,257
  자본총계(지배),-11,20,99,284,257
  자본총계(비지배),,,,,
자본금,13,13,14,39,39
영업활동현금흐름,-34,15,25,-61,-86
투자활동현금흐름,-1,-21,-62,-123,-45
재무활동현금흐름,42,30,38,139,152
CAPEX,3,2,65,123,16
FCF,-37,13,-40,-184,-102
이자발생부채,129,160,177,248,347
영업이익률,-0.77,3.62,8.58,5.00,-12.10
순이익률,-3.67,4.05,5.61,-1.87,-9.35
ROE(%),-54.28,436.59,71.24,-6.43,-21.81
ROA(%),-6.73,7.64,11.82,-2.04,-7.59
부채비율,"-2,799.32","1,138.26",374.97,158.73,219.15
자본유보율,-184.01,45.27,594.18,630.81,480.61
EPS(원),-58,55,114,-33,-150
PER(배),,,,N/A,N/A
BPS(원),-31,54,266,726,656
PBR(배),,,,5.90,6.47
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"31,066,062","31,066,062","34,602,271","39,396,554","39,396,554"
