주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"8,812","13,006","13,933","14,631","15,519","16,326","17,131","17,490"
영업이익,512,744,853,865,878,941,"1,041","1,042"
영업이익(발표기준),512,744,853,865,878,,,
세전계속사업이익,439,768,852,805,966,925,"1,029",972
당기순이익,347,583,643,577,742,703,775,736
  당기순이익(지배),347,583,643,577,742,692,764,703
  당기순이익(비지배),,,,,,,,
자산총계,"5,910","6,157","6,752","7,448","9,817","10,079","10,825","11,595"
부채총계,"3,035","2,688","2,716","3,047","4,844","4,455","4,504","4,808"
자본총계,"2,875","3,470","4,036","4,401","4,973","5,624","6,321","6,787"
  자본총계(지배),"2,875","3,470","4,036","4,401","4,973","5,624","6,321","6,787"
  자본총계(비지배),,,,,,,,
자본금,38,39,39,39,39,39,39,39
영업활동현금흐름,975,615,924,626,"1,006","1,023","1,085","1,045"
투자활동현금흐름,-575,-263,-414,-816,"-1,932",-529,-534,-615
재무활동현금흐름,-486,-77,-305,48,"1,433",-121,-144,-187
CAPEX,436,277,364,516,537,525,525,600
FCF,539,338,559,110,470,574,636,
이자발생부채,998,944,848,"1,141","2,802",,,
영업이익률,5.80,5.72,6.12,5.91,5.66,5.77,6.08,5.96
순이익률,3.94,4.49,4.62,3.94,4.78,4.30,4.52,4.21
ROE(%),,,17.14,13.67,15.84,13.05,12.79,10.73
ROA(%),,,9.97,8.12,8.60,7.06,7.41,6.57
부채비율,105.56,77.46,67.28,69.23,97.41,79.21,71.26,70.84
자본유보율,"7,459.00","8,834.05","10,334.55","11,662.34","13,457.50",,,
EPS(원),"6,928","7,530","8,202","7,350","9,466","8,818","9,736","8,963"
PER(배),9.57,10.46,10.50,9.51,7.26,7.70,6.97,7.58
BPS(원),"37,801","44,252","51,546","57,834","67,256","76,690","86,189","92,543"
PBR(배),1.75,1.78,1.67,1.21,1.02,0.89,0.79,0.73
현금DPS(원),450,700,800,800,"1,200","1,067","1,067","1,200"
현금배당수익률,0.68,0.89,0.93,1.14,1.75,1.57,1.57,1.77
현금배당성향(%),9.85,9.41,9.74,10.57,11.95,12.10,10.96,13.39
발행주식수(보통주),"7,608,398","7,843,638","7,843,638","7,843,638","7,843,638",,,
