주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,248,275,332,"1,195","2,024","2,040","2,060"
영업이익,-14,-21,11,549,"1,045","1,060","1,070"
영업이익(발표기준),-14,-21,11,549,"1,045",,
세전계속사업이익,-43,-34,11,518,"1,091",,
당기순이익,-34,-40,10,428,839,810,820
  당기순이익(지배),-34,-40,10,428,839,,
  당기순이익(비지배),,,,0,,,
자산총계,399,471,495,"1,094","2,043",,
부채총계,175,170,191,277,459,,
자본총계,223,301,304,816,"1,584",,
  자본총계(지배),223,301,304,815,"1,577",,
  자본총계(비지배),,,,1,7,,
자본금,43,51,52,57,57,,
영업활동현금흐름,-11,6,32,464,654,,
투자활동현금흐름,-84,-106,-1,-86,-261,,
재무활동현금흐름,2,99,-15,-10,-72,,
CAPEX,15,12,6,7,137,,
FCF,-26,-6,26,457,516,,
이자발생부채,115,96,114,55,53,,
영업이익률,-5.73,-7.56,3.26,45.95,51.64,51.96,51.94
순이익률,-13.85,-14.43,2.90,35.79,41.43,39.71,39.81
ROE(%),-14.50,-15.15,3.18,,70.10,,
ROA(%),-8.27,-9.14,1.99,,53.47,,
부채비율,78.40,56.45,62.66,33.96,28.95,,
자본유보율,440.11,506.77,513.89,"1,329.38","2,776.49",,
EPS(원),-134,-145,33,"1,283","2,441",,
PER(배),N/A,N/A,53.03,4.92,3.42,,
BPS(원),864,"1,063",978,"2,383","4,638",,
PBR(배),4.02,1.96,1.76,2.65,1.80,,
현금DPS(원),0,0,0,0,100,,
현금배당수익률,0.00,0.00,0.00,0.00,1.20,,
현금배당성향(%),0.00,0.00,0.00,0.00,3.97,,
발행주식수(보통주),"25,885,317","27,309,885","31,231,446","34,350,291","34,350,291",,
