주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,60,55,64,67,91
영업이익,6,7,13,14,29
영업이익(발표기준),6,7,13,14,29
세전계속사업이익,2,4,13,11,37
당기순이익,2,4,11,10,31
  당기순이익(지배),2,4,11,10,31
  당기순이익(비지배),,,,,
자산총계,153,185,195,271,266
부채총계,89,95,94,63,28
자본총계,64,89,100,208,238
  자본총계(지배),64,89,100,208,238
  자본총계(비지배),,,,,
자본금,22,22,22,27,27
영업활동현금흐름,16,4,16,23,26
투자활동현금흐름,-5,-2,-11,6,-86
재무활동현금흐름,-3,3,-4,66,-32
CAPEX,2,3,8,4,10
FCF,14,0,8,19,16
이자발생부채,71,79,75,43,11
영업이익률,9.89,11.81,20.57,21.53,32.06
순이익률,3.41,6.68,17.35,15.20,34.24
ROE(%),3.27,,11.70,6.63,13.92
ROA(%),1.35,,5.86,4.39,11.56
부채비율,140.27,106.84,93.65,30.32,11.66
자본유보율,187.82,303.84,354.14,661.33,773.06
EPS(원),46,84,251,229,569
PER(배),,,,166.11,31.39
BPS(원),"1,439","2,020","2,271","3,807","4,365"
PBR(배),0.00,0.00,0.00,9.98,4.09
현금DPS(원),0,0,0,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,425,000","4,425,000","4,425,000","5,455,000","5,455,000"
