주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"4,279","3,969","4,408","4,407","4,793"
영업이익,224,89,278,146,139
영업이익(발표기준),224,89,278,146,139
세전계속사업이익,94,-128,150,39,2
당기순이익,107,-112,138,-13,24
  당기순이익(지배),109,-112,138,-13,24
  당기순이익(비지배),-2,,,,
자산총계,"5,073","5,607","6,547","6,278","5,964"
부채총계,"3,630","3,920","4,534","4,265","3,848"
자본총계,"1,443","1,688","2,013","2,013","2,117"
  자본총계(지배),"1,439","1,688","2,013","2,013","2,117"
  자본총계(비지배),4,,,,
자본금,66,149,183,190,194
영업활동현금흐름,370,971,617,365,806
투자활동현금흐름,-757,-833,-717,-332,-668
재무활동현금흐름,362,48,325,-155,-306
CAPEX,744,849,812,355,695
FCF,-374,121,-195,11,111
이자발생부채,"2,757","2,619","3,075","2,963","2,896"
영업이익률,5.24,2.24,6.31,3.32,2.89
순이익률,2.50,-2.82,3.13,-0.30,0.51
ROE(%),7.79,-7.17,7.46,-0.66,1.17
ROA(%),2.08,-2.10,2.27,-0.21,0.40
부채비율,251.64,232.28,225.23,211.82,181.78
자본유보율,"2,038.19","1,009.74",966.74,939.25,942.67
EPS(원),508,-420,423,-36,62
PER(배),7.44,N/A,6.14,N/A,51.21
BPS(원),"6,678","5,676","5,499","5,296","5,455"
PBR(배),0.57,0.36,0.47,0.55,0.59
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"21,541,949","29,732,585","36,607,422","38,023,586","38,806,582"
