주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"2,019","2,282","3,977","3,911","5,125","7,667","8,820"
영업이익,216,211,535,254,54,373,730
영업이익(발표기준),216,211,535,254,54,,
세전계속사업이익,60,186,521,194,133,440,790
당기순이익,76,182,417,147,62,340,600
  당기순이익(지배),76,182,417,147,62,340,600
  당기순이익(비지배),0,0,0,,,,
자산총계,"1,992","2,408","4,305","4,364","6,068","6,960","7,750"
부채총계,"1,510","1,401","1,642","1,689","3,487","4,040","4,240"
자본총계,482,"1,008","2,664","2,675","2,581","2,920","3,510"
  자본총계(지배),482,"1,008","2,664","2,675","2,581","2,920","3,510"
  자본총계(비지배),,,,,,,
자본금,71,88,114,116,116,120,120
영업활동현금흐름,150,282,413,296,-23,430,920
투자활동현금흐름,-222,-284,"-1,341",-140,"-1,256",-800,-810
재무활동현금흐름,46,117,"1,205",11,"1,026",360,-50
CAPEX,186,328,647,575,"1,400",800,800
FCF,-36,-46,-234,-278,"-1,422",-350,130
이자발생부채,"1,212","1,011",986,"1,044","2,381",,
영업이익률,10.69,9.24,13.45,6.48,1.05,4.87,8.28
순이익률,3.77,7.96,10.48,3.75,1.22,4.44,6.80
ROE(%),17.97,24.37,22.69,5.50,2.38,12.36,18.66
ROA(%),3.92,8.25,12.41,3.39,1.20,5.22,8.16
부채비율,313.01,138.97,61.63,63.14,135.11,138.36,120.80
자본유보율,591.88,"1,038.97","2,228.11","2,361.73","2,385.10",,
EPS(원),558,"1,214","2,217",641,270,"1,495","2,646"
PER(배),,,19.15,88.77,157.59,23.04,13.02
BPS(원),"3,415","5,725","11,774","11,786","11,585","13,316","16,007"
PBR(배),0.00,0.00,3.61,4.83,3.68,2.59,2.15
현금DPS(원),0,0,0,200,200,0,0
현금배당수익률,,,0.00,0.35,0.47,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,30.92,71.30,,
발행주식수(보통주),"14,126,967","17,606,228","22,828,069","23,107,801","23,123,264",,
