주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,0,0,2,3,4
영업이익,-53,-86,-122,-161,-122
영업이익(발표기준),-53,-86,-122,-161,-122
세전계속사업이익,-17,-401,-426,-96,-225
당기순이익,-17,-401,-426,-96,-225
  당기순이익(지배),-17,-401,-426,-96,-225
  당기순이익(비지배),,,,,
자산총계,64,439,410,763,540
부채총계,151,885,242,132,94
자본총계,-87,-446,169,631,446
  자본총계(지배),-87,-446,169,631,446
  자본총계(비지배),,,,,
자본금,8,9,46,59,60
영업활동현금흐름,-50,-66,-84,-109,-134
투자활동현금흐름,8,-289,-103,-237,158
재무활동현금흐름,1,442,117,302,4
CAPEX,3,10,93,15,7
FCF,-53,-75,-177,-124,-141
이자발생부채,129,376,107,66,62
영업이익률,"-17,948.58","-29,792.46","-7,241.70","-5,027.71","-2,767.18"
순이익률,"-5,882.08","-139,406.40","-25,254.54","-3,010.19","-5,126.47"
ROE(%),22.10,150.54,306.71,-24.10,-41.82
ROA(%),-19.62,-159.43,-100.25,-16.42,-34.55
부채비율,-174.28,-198.34,143.53,20.95,21.14
자본유보율,"-1,156.65","-5,027.45",260.19,986.42,626.99
EPS(원),-280,"-5,321","-4,383",-848,"-1,882"
PER(배),,,,N/A,N/A
BPS(원),"-1,391","-4,713","1,704","5,312","3,711"
PBR(배),0.00,0.00,0.00,9.29,5.24
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,282,000","3,620,418","9,172,646","11,874,615","12,021,854"
