주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,860,769,"1,188",286,761
영업이익,113,58,132,-19,-59
영업이익(발표기준),113,58,132,-19,-59
세전계속사업이익,131,83,146,-39,-43
당기순이익,111,76,132,15,-15
  당기순이익(지배),111,76,132,15,-15
  당기순이익(비지배),,,,,
자산총계,"2,133","3,021","2,897","3,379","3,191"
부채총계,908,"1,392","1,173","1,684","1,508"
자본총계,"1,225","1,629","1,724","1,695","1,682"
  자본총계(지배),"1,225","1,629","1,724","1,695","1,682"
  자본총계(비지배),,,,,
자본금,15,19,19,19,19
영업활동현금흐름,193,121,25,14,-86
투자활동현금흐름,56,-507,97,36,-25
재무활동현금흐름,,333,-48,-51,-4
CAPEX,5,52,2,2,3
FCF,187,69,23,12,-89
이자발생부채,0,0,5,25,19
영업이익률,13.19,7.54,11.08,-6.76,-7.75
순이익률,12.91,9.83,11.09,5.17,-1.91
ROE(%),9.49,5.29,7.85,0.87,-0.86
ROA(%),6.07,2.93,4.45,0.47,-0.44
부채비율,74.08,85.43,68.04,99.33,89.66
자본유보율,"7,991.94","8,636.08","9,214.66","9,098.49","9,022.67"
EPS(원),733,451,697,78,-77
PER(배),,14.00,12.14,122.90,N/A
BPS(원),"8,091","8,773","9,381","9,300","9,224"
PBR(배),0.00,0.72,0.90,1.03,1.01
현금DPS(원),100,120,200,0,0
현금배당수익률,,1.90,2.36,0.00,0.00
현금배당성향(%),13.64,29.52,27.91,0.00,0.00
발행주식수(보통주),"15,142,500","18,900,000","18,900,000","18,900,000","18,900,000"
