주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,293,372,460,585,644,766
영업이익,48,60,67,88,98,141
영업이익(발표기준),48,60,67,88,98,
세전계속사업이익,47,44,54,95,113,135
당기순이익,39,39,46,86,103,116
  당기순이익(지배),43,36,42,83,98,110
  당기순이익(비지배),-4,3,4,3,5,
자산총계,327,437,615,742,934,"1,051"
부채총계,162,222,185,192,283,294
자본총계,166,215,430,550,651,756
  자본총계(지배),160,207,419,536,634,739
  자본총계(비지배),,,12,14,18,
자본금,6,6,7,8,8,8
영업활동현금흐름,12,34,52,115,85,142
투자활동현금흐름,-100,-95,-158,-77,-196,-135
재무활동현금흐름,119,14,125,-9,92,-9
CAPEX,7,131,55,39,174,115
FCF,5,-97,-4,75,-89,
이자발생부채,68,78,82,75,163,
영업이익률,16.36,16.07,14.62,15.11,15.25,18.41
순이익률,13.35,10.35,9.89,14.68,16.00,15.14
ROE(%),35.37,19.36,13.42,17.38,16.76,16.03
ROA(%),14.96,10.08,8.65,12.65,12.30,11.69
부채비율,97.56,103.42,43.02,34.88,43.39,38.89
자본유보율,"2,541.74","3,258.83","5,665.34","6,981.33","8,221.98",
EPS(원),679,515,597,"1,098","1,286","1,417"
PER(배),,,34.43,22.86,22.28,44.45
BPS(원),"2,355","2,986","5,581","7,107","8,281","9,488"
PBR(배),0.00,0.00,3.68,3.53,3.46,6.64
현금DPS(원),0,0,0,150,200,200
현금배당수익률,,,0.00,0.60,0.70,0.32
현금배당성향(%),0.00,0.00,0.00,13.64,15.61,14.16
발행주식수(보통주),"6,055,250","6,165,250","7,317,020","7,619,368","7,651,868",
