주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,270,469,320,311,359
영업이익,16,42,10,5,-5
영업이익(발표기준),16,42,10,5,-5
세전계속사업이익,10,40,9,1,-10
당기순이익,7,32,13,3,-6
  당기순이익(지배),7,33,13,3,-9
  당기순이익(비지배),,-1,0,0,3
자산총계,224,484,591,529,683
부채총계,109,287,287,222,377
자본총계,116,197,304,307,306
  자본총계(지배),116,197,304,307,297
  자본총계(비지배),,,0,,8
자본금,5,7,8,8,8
영업활동현금흐름,24,20,-27,54,19
투자활동현금흐름,-6,-5,-75,-4,-132
재무활동현금흐름,-4,12,125,-50,131
CAPEX,2,21,1,1,11
FCF,21,-1,-28,53,8
이자발생부채,17,106,140,100,249
영업이익률,5.90,8.86,3.15,1.48,-1.32
순이익률,2.43,6.90,4.13,0.97,-1.69
ROE(%),5.82,,5.22,0.96,-3.11
ROA(%),3.02,,2.46,0.54,-1.00
부채비율,93.89,146.15,94.15,72.41,123.36
자본유보율,"2,213.08","3,563.10","3,961.95","3,989.31","3,930.91"
EPS(원),131,533,179,36,-115
PER(배),,,37.47,171.35,N/A
BPS(원),"2,313","2,925","4,106","4,141","4,013"
PBR(배),0.00,0.00,1.64,1.50,2.54
현금DPS(원),30,20,20,,
현금배당수익률,,,0.30,,
현금배당성향(%),22.88,3.26,11.33,0.00,
발행주식수(보통주),"5,000,000","6,725,700","8,145,700","8,145,700","8,145,700"
