주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,126","1,019",877,"1,218","1,447","1,870","2,174","2,583"
영업이익,230,123,20,181,375,611,692,822
영업이익(발표기준),230,123,20,181,375,,,
세전계속사업이익,207,160,31,101,374,629,705,841
당기순이익,161,122,32,55,301,485,543,652
  당기순이익(지배),172,134,43,63,302,487,546,655
  당기순이익(비지배),-11,-12,-12,-8,-2,,,
자산총계,"2,112","2,168","2,085","2,395","2,617","3,315","3,744","4,266"
부채총계,395,387,300,667,391,583,632,698
자본총계,"1,718","1,781","1,784","1,727","2,226","2,732","3,112","3,568"
  자본총계(지배),"1,605","1,684","1,699","1,727","2,227","2,736","3,119","3,578"
  자본총계(비지배),113,,85,1,-1,,,
자본금,68,69,71,71,83,87,87,87
영업활동현금흐름,232,165,119,248,393,452,614,664
투자활동현금흐름,-146,-248,-37,-100,-40,-135,-170,-14
재무활동현금흐름,-63,-18,-43,104,-215,259,-145,-162
CAPEX,89,176,149,120,142,120,160,0
FCF,143,-11,-30,128,251,422,456,673
이자발생부채,130,154,147,429,161,,,
영업이익률,20.44,12.04,2.31,14.85,25.93,32.67,31.83,31.82
순이익률,14.32,11.93,3.63,4.52,20.79,25.94,24.98,25.24
ROE(%),11.10,8.13,2.57,3.68,15.30,19.63,18.65,19.56
ROA(%),7.91,5.68,1.50,2.46,12.01,16.35,15.38,16.28
부채비율,22.98,21.74,16.84,38.64,17.59,21.34,20.31,19.56
자본유보율,"2,325.31","2,397.23","2,390.44","2,471.15","2,925.70",,,
EPS(원),"1,220",945,308,445,"1,857","2,805","3,138","3,764"
PER(배),15.77,9.12,31.70,60.62,19.04,13.22,11.82,9.86
BPS(원),"11,537","12,108","12,218","12,419","14,083","16,416","18,714","21,468"
PBR(배),1.67,0.71,0.80,2.17,2.51,2.26,1.98,1.73
현금DPS(원),337,147,50,150,200,834,935,"1,122"
현금배당수익률,1.75,1.71,0.51,0.56,0.57,2.25,2.52,3.02
현금배당성향(%),27.12,15.29,16.01,33.11,10.45,29.80,29.80,29.80
발행주식수(보통주),"14,142,508","14,142,508","14,142,508","14,142,508","16,544,516",,,
