주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,290","1,387","1,697","2,098","2,330"
영업이익,71,143,175,208,194
영업이익(발표기준),71,143,175,208,194
세전계속사업이익,69,160,186,208,217
당기순이익,56,136,155,171,187
  당기순이익(지배),56,136,155,171,187
  당기순이익(비지배),,,,,
자산총계,"1,098","1,389","1,711","1,665","2,377"
부채총계,413,564,732,516,486
자본총계,685,824,979,"1,149","1,891"
  자본총계(지배),685,824,979,"1,149","1,891"
  자본총계(비지배),,,,,
자본금,108,108,108,108,128
영업활동현금흐름,281,81,294,330,351
투자활동현금흐름,-18,-671,-265,122,-777
재무활동현금흐름,-374,290,59,-242,488
CAPEX,80,458,265,168,275
FCF,201,-377,29,162,76
이자발생부채,28,320,384,166,112
영업이익률,5.47,10.33,10.32,9.90,8.32
순이익률,4.34,9.79,9.14,8.15,8.02
ROE(%),6.63,18.00,17.19,16.08,12.30
ROA(%),4.75,10.92,10.01,10.14,9.25
부채비율,60.28,68.45,74.72,44.90,25.68
자본유보율,534.24,663.27,806.53,963.67,"1,370.48"
EPS(원),272,659,753,830,817
PER(배),,,,,14.26
BPS(원),"3,325","4,002","4,753","5,577","7,689"
PBR(배),0.00,0.00,0.00,0.00,1.52
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"20,600,000","20,600,000","20,600,000","20,600,000","24,600,000"
