주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"1,306","1,384","1,361","1,300","1,403",
영업이익,-141,-59,-40,-59,-29,
영업이익(발표기준),-141,-59,-40,-59,-29,
세전계속사업이익,-232,-68,-130,-227,-77,
당기순이익,-207,-91,-138,-229,-80,
  당기순이익(지배),-207,-91,-137,-195,-73,
  당기순이익(비지배),0,0,0,-34,-7,
자산총계,"1,918","1,917","1,865","1,772","1,682",
부채총계,"1,177","1,047","1,119","1,028",832,
자본총계,741,870,746,743,850,
  자본총계(지배),740,869,747,763,850,
  자본총계(비지배),1,,-2,-20,,
자본금,88,97,97,105,118,
영업활동현금흐름,3,-25,17,5,65,
투자활동현금흐름,-40,-82,102,16,22,
재무활동현금흐름,49,88,-13,-48,-134,
CAPEX,39,15,22,19,17,
FCF,-36,-40,-5,-14,48,
이자발생부채,742,702,702,658,474,
영업이익률,-10.77,-4.23,-2.95,-4.52,-2.09,
순이익률,-15.86,-6.55,-10.11,-17.59,-5.69,
ROE(%),-25.11,-11.27,-17.00,-25.76,-9.07,
ROA(%),-10.88,-4.73,-7.28,-12.58,-4.62,
부채비율,158.92,120.42,150.13,138.30,97.88,
자본유보율,665.19,756.67,700.12,647.09,657.14,
EPS(원),"-1,179",-498,-711,-964,-325,
PER(배),N/A,N/A,N/A,N/A,N/A,
BPS(원),"4,276","4,563","3,926","3,674","3,641",
PBR(배),3.02,1.78,1.55,2.10,2.49,
현금DPS(원),0,0,0,0,,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"17,575,133","19,310,522","19,310,522","21,045,926","23,623,540",
