주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,302,310,639,807,615
영업이익,36,40,139,144,68
영업이익(발표기준),36,40,139,144,68
세전계속사업이익,38,34,142,144,75
당기순이익,31,28,120,122,67
  당기순이익(지배),28,28,120,122,67
  당기순이익(비지배),3,0,0,0,0
자산총계,380,443,623,703,807
부채총계,87,122,194,169,154
자본총계,293,321,429,534,653
  자본총계(지배),288,321,429,534,652
  자본총계(비지배),4,,0,,1
자본금,24,25,25,25,25
영업활동현금흐름,33,63,173,183,87
투자활동현금흐름,-11,-49,-35,-115,-47
재무활동현금흐름,-6,20,-7,-65,33
CAPEX,7,5,6,22,6
FCF,26,58,167,161,81
이자발생부채,30,50,64,23,6
영업이익률,12.01,12.76,21.70,17.84,11.01
순이익률,10.31,8.91,18.85,15.18,10.98
ROE(%),10.09,9.04,32.13,25.45,11.37
ROA(%),8.58,6.71,22.60,18.48,8.94
부채비율,29.86,37.96,45.21,31.66,23.57
자본유보율,"1,084.99","1,227.57","1,699.15","2,177.97","2,517.85"
EPS(원),116,113,491,498,272
PER(배),28.14,20.92,14.85,22.18,33.52
BPS(원),"1,200","1,316","1,770","2,205","2,634"
PBR(배),2.71,1.80,4.12,5.01,3.47
현금DPS(원),15,20,25,35,25
현금배당수익률,0.46,0.84,0.34,0.32,0.27
현금배당성향(%),12.89,17.69,5.03,6.92,9.18
발행주식수(보통주),"24,160,954","24,505,004","24,505,004","24,746,635","24,761,635"
