주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,,,,0,7
영업이익,-38,-71,-85,-129,-269
영업이익(발표기준),-38,-71,-85,-129,-269
세전계속사업이익,-43,-323,-94,-196,-300
당기순이익,-43,-323,-94,-196,-300
  당기순이익(지배),-43,-323,-94,-196,-298
  당기순이익(비지배),,,,,-2
자산총계,30,98,100,292,627
부채총계,17,36,65,43,437
자본총계,13,61,35,248,189
  자본총계(지배),13,61,35,248,182
  자본총계(비지배),,,,,7
자본금,2,9,9,11,12
영업활동현금흐름,-32,-67,-68,-116,-235
투자활동현금흐름,-12,-33,-15,-141,-317
재무활동현금흐름,55,131,62,296,558
CAPEX,8,3,7,12,117
FCF,-40,-70,-76,-128,-352
이자발생부채,10,27,49,23,389
영업이익률,,,,"-59,379.02","-3,878.99"
순이익률,,,,"-90,729.45","-4,325.59"
ROE(%),-629.68,,-195.25,-138.74,-138.10
ROA(%),-197.91,,-94.92,-100.31,-65.32
부채비율,130.95,59.28,187.29,17.39,231.23
자본유보율,419.50,550.10,191.59,"1,988.52","1,264.55"
EPS(원),-393,"-1,969",-482,"-3,602","-1,234"
PER(배),,,,N/A,N/A
BPS(원),119,328,176,"1,050",739
PBR(배),0.00,0.00,0.00,33.01,33.17
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,490,836","18,480,009","19,638,793","23,656,593","24,684,533"
