주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,163,180,239,329,286
영업이익,25,15,7,22,3
영업이익(발표기준),25,15,7,22,3
세전계속사업이익,23,10,8,13,3
당기순이익,20,11,12,13,1
  당기순이익(지배),20,11,13,11,1
  당기순이익(비지배),,,-1,2,0
자산총계,294,369,483,556,627
부채총계,134,120,184,202,169
자본총계,160,249,299,354,457
  자본총계(지배),160,249,291,344,447
  자본총계(비지배),,,8,10,10
자본금,16,35,37,37,46
영업활동현금흐름,34,29,22,26,35
투자활동현금흐름,-77,-98,-58,-5,20
재무활동현금흐름,55,47,82,-25,79
CAPEX,75,2,6,2,2
FCF,-41,27,16,24,33
이자발생부채,89,61,136,120,96
영업이익률,15.19,8.51,2.85,6.81,0.99
순이익률,12.54,6.28,4.94,4.02,0.35
ROE(%),16.00,5.53,,3.61,0.19
ROA(%),8.79,3.41,,2.55,0.17
부채비율,83.24,48.27,61.74,57.05,37.02
자본유보율,850.84,529.70,594.65,619.66,690.75
EPS(원),316,168,166,147,9
PER(배),7.85,21.45,22.24,29.26,528.04
BPS(원),"2,720","3,647","3,961","4,679","4,680"
PBR(배),0.91,0.99,0.93,0.92,0.96
현금DPS(원),0,0,67,29,0
현금배당수익률,0.00,0.00,1.80,0.66,0.00
현금배당성향(%),0.00,0.00,38.27,18.31,
발행주식수(보통주),"6,476,651","7,252,010","7,761,308","7,779,789","9,557,649"
