주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,2,3,4,2,3
영업이익,-19,-34,-33,-39,-41
영업이익(발표기준),-19,-34,-33,-39,-41
세전계속사업이익,-19,-73,-39,-38,-38
당기순이익,-19,-73,-39,-38,-38
  당기순이익(지배),-19,-73,-39,-38,-38
  당기순이익(비지배),,,,,
자산총계,36,110,83,369,333
부채총계,8,292,14,17,18
자본총계,28,-183,69,352,315
  자본총계(지배),28,-183,69,352,315
  자본총계(비지배),,,,,
자본금,15,11,38,45,45
영업활동현금흐름,-17,-21,-25,-34,-35
투자활동현금흐름,21,11,-2,-311,-1
재무활동현금흐름,0,98,0,320,-1
CAPEX,1,3,2,3,71
FCF,-18,-24,-27,-38,-106
이자발생부채,2,98,1,1,1
영업이익률,"-1,149.26","-1,220.85",-807.56,"-1,716.79","-1,510.39"
순이익률,"-1,132.55","-2,656.33",-945.20,"-1,681.97","-1,422.73"
ROE(%),-52.97,94.98,68.06,-18.25,-11.50
ROA(%),-42.53,-101.03,-39.90,-16.99,-10.92
부채비율,27.05,-160.18,19.88,4.97,5.72
자본유보율,89.15,"-1,855.02",55.36,669.68,582.39
EPS(원),-323,"-1,126",-537,-482,-429
PER(배),,,,N/A,N/A
BPS(원),473,"-2,611",924,"3,942","3,525"
PBR(배),0.00,0.00,0.00,6.85,4.84
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,550,804","3,982,804","7,049,126","8,466,126","8,466,126"
