주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,381,109,94,101,94
영업이익,-7,-8,2,-14,-31
영업이익(발표기준),-7,-8,2,-14,-31
세전계속사업이익,-26,11,3,-36,-30
당기순이익,-24,-29,-20,-44,-30
  당기순이익(지배),-24,-29,-20,-44,-30
  당기순이익(비지배),,,,,
자산총계,441,336,443,446,422
부채총계,133,57,170,166,171
자본총계,308,279,273,280,251
  자본총계(지배),308,279,273,280,251
  자본총계(비지배),,,,,
자본금,346,346,346,396,396
영업활동현금흐름,-20,7,-27,-3,-29
투자활동현금흐름,77,147,141,3,-197
재무활동현금흐름,-55,-89,-4,47,-3
CAPEX,3,4,2,1,1
FCF,-23,2,-28,-4,-29
이자발생부채,89,0,5,2,4
영업이익률,-1.94,-7.38,1.79,-13.57,-32.86
순이익률,-6.36,-26.25,-20.95,-43.43,-32.30
ROE(%),-8.09,,-7.12,-15.87,-11.46
ROA(%),-5.04,,-5.04,-9.88,-7.01
부채비율,43.22,20.38,62.23,59.04,68.19
자본유보율,-7.62,-16.10,-17.76,-26.30,-33.81
EPS(원),-36,-41,-28,-57,-38
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),448,405,397,356,318
PBR(배),1.92,1.55,1.64,3.22,2.69
현금DPS(원),0,0,,,
현금배당수익률,0.00,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"69,138,942","69,138,942","69,138,942","79,138,942","79,138,942"
