주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,334,205,164,"2,217","2,638"
영업이익,-5,10,27,160,199
영업이익(발표기준),-5,10,27,160,199
세전계속사업이익,81,148,209,143,203
당기순이익,70,122,169,106,153
  당기순이익(지배),70,122,169,106,153
  당기순이익(비지배),,,,,
자산총계,503,564,933,933,"1,368"
부채총계,283,220,420,308,353
자본총계,220,343,513,624,"1,015"
  자본총계(지배),220,343,513,624,"1,015"
  자본총계(비지배),,,,,
자본금,70,70,70,70,88
영업활동현금흐름,-41,32,63,145,196
투자활동현금흐름,35,30,-32,-93,42
재무활동현금흐름,-34,-40,-1,-58,174
CAPEX,1,2,1,28,19
FCF,-42,30,62,117,177
이자발생부채,41,1,0,54,60
영업이익률,-1.38,4.85,16.55,7.23,7.54
순이익률,21.04,59.44,103.30,4.78,5.80
ROE(%),36.73,43.26,39.50,18.64,18.67
ROA(%),12.46,22.85,22.60,11.01,13.31
부채비율,128.52,64.21,81.89,49.38,34.78
자본유보율,236.86,410.94,652.45,811.46,"1,000.94"
EPS(원),502,870,"1,208",757,"1,026"
PER(배),,,,,6.89
BPS(원),"1,571","2,452","3,662","4,459","5,748"
PBR(배),0.00,0.00,0.00,0.00,1.23
현금DPS(원),0,0,370,370,260
현금배당수익률,,,,,3.68
현금배당성향(%),0.00,0.00,30.64,48.87,30.00
발행주식수(보통주),"14,000,000","14,000,000","14,000,000","14,000,000","17,657,500"
