주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,308","2,502","2,706","2,762","2,957"
영업이익,168,170,43,-34,19
영업이익(발표기준),168,170,43,-34,19
세전계속사업이익,231,229,29,-41,-113
당기순이익,175,181,26,-23,-109
  당기순이익(지배),175,181,26,-24,-110
  당기순이익(비지배),,,,0,1
자산총계,"2,005","2,205","2,247","2,567","2,652"
부채총계,291,319,347,690,879
자본총계,"1,714","1,886","1,900","1,877","1,773"
  자본총계(지배),"1,714","1,886","1,900","1,876","1,771"
  자본총계(비지배),,,0,1,2
자본금,129,129,129,129,129
영업활동현금흐름,220,195,70,-26,123
투자활동현금흐름,-295,-149,-25,-458,-89
재무활동현금흐름,79,-58,-27,383,-32
CAPEX,13,36,53,131,20
FCF,207,160,16,-157,104
이자발생부채,56,11,27,414,404
영업이익률,7.30,6.78,1.57,-1.23,0.63
순이익률,7.58,7.25,0.97,-0.84,-3.69
ROE(%),11.10,10.07,,-1.25,-6.06
ROA(%),9.36,8.61,,-0.96,-4.18
부채비율,16.99,16.92,18.25,36.76,49.58
자본유보율,"1,225.40","1,365.33","1,375.75","1,357.43","1,271.90"
EPS(원),727,702,102,-92,-428
PER(배),5.61,5.34,35.03,N/A,N/A
BPS(원),"6,663","7,332","7,388","7,294","6,884"
PBR(배),0.61,0.51,0.48,0.46,0.45
현금DPS(원),50,50,,,
현금배당수익률,1.23,1.34,,,
현금배당성향(%),7.35,7.10,0.00,0.00,
발행주식수(보통주),"25,831,764","25,831,764","25,831,764","25,831,764","25,831,764"
