주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,3,20,42,34,32
영업이익,-93,-83,-94,-137,-350
영업이익(발표기준),-93,-83,-94,-137,-350
세전계속사업이익,-88,-72,-87,-153,-347
당기순이익,-85,-59,-87,-149,-346
  당기순이익(지배),-85,-59,-87,-149,-346
  당기순이익(비지배),,,,,
자산총계,303,540,473,444,"1,050"
부채총계,65,307,283,315,160
자본총계,238,233,190,129,890
  자본총계(지배),238,233,190,129,890
  자본총계(비지배),,,,,
자본금,55,55,57,58,107
영업활동현금흐름,-68,-75,-83,-98,-300
투자활동현금흐름,-83,-270,111,45,-567
재무활동현금흐름,187,307,4,41,866
CAPEX,2,2,10,20,24
FCF,-69,-77,-93,-118,-324
이자발생부채,38,222,182,171,39
영업이익률,"-3,086.98",-406.13,-220.35,-406.57,"-1,079.66"
순이익률,"-2,807.29",-290.27,-205.88,-441.90,"-1,066.25"
ROE(%),-42.32,-25.09,,-93.10,-67.87
ROA(%),-34.61,-14.01,,-32.40,-46.27
부채비율,27.50,131.51,148.61,244.41,18.01
자본유보율,267.99,249.41,158.99,45.24,676.78
EPS(원),-639,-407,-582,-976,"-1,914"
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,654","1,565","1,251",840,"4,156"
PBR(배),8.94,6.96,7.00,11.52,4.60
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"14,365,082","14,402,087","15,049,141","15,259,507","21,409,478"
