주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,293,322,354,364,422,542
영업이익,13,15,-36,-12,42,116
영업이익(발표기준),13,15,-36,-12,42,
세전계속사업이익,2,7,-46,-11,38,
당기순이익,6,10,-45,-8,41,112
  당기순이익(지배),6,9,-46,-7,42,
  당기순이익(비지배),,1,1,-1,-1,
자산총계,416,460,473,464,448,
부채총계,273,245,308,259,184,
자본총계,143,214,165,205,264,
  자본총계(지배),143,210,160,200,260,
  자본총계(비지배),,5,5,5,3,
자본금,41,48,48,56,58,
영업활동현금흐름,-6,-20,57,78,134,
투자활동현금흐름,-39,-24,-17,-32,-76,
재무활동현금흐름,39,26,10,-31,-61,
CAPEX,1,3,2,1,1,
FCF,-7,-23,55,76,133,
이자발생부채,191,131,166,135,54,
영업이익률,4.44,4.75,-10.24,-3.40,10.03,21.40
순이익률,1.90,3.02,-12.72,-2.07,9.74,20.66
ROE(%),4.01,4.90,-24.65,-3.70,18.44,
ROA(%),1.39,2.23,-9.65,-1.60,9.01,
부채비율,191.01,114.40,186.12,126.18,69.80,
자본유보율,261.05,358.04,254.44,279.42,365.47,
EPS(원),68,93,-476,-65,379,
PER(배),78.59,34.85,N/A,N/A,35.19,
BPS(원),"1,802","2,247","1,705","1,831","2,279",
PBR(배),2.97,1.44,2.16,4.36,5.86,
현금DPS(원),0,0,0,0,,
현금배당수익률,0.00,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"8,142,695","9,546,462","9,607,216","11,153,093","11,629,922",
