주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,,174,470,590,294,614,710
영업이익,,-11,114,77,-58,64,76
영업이익(발표기준),,-11,114,77,-58,,
세전계속사업이익,,-17,104,52,-43,64,76
당기순이익,,-10,82,48,-24,50,60
  당기순이익(지배),,-10,82,48,-24,50,60
  당기순이익(비지배),,,,,,,
자산총계,,343,629,408,889,852,931
부채총계,,359,521,205,426,239,258
자본총계,,-16,108,203,463,613,673
  자본총계(지배),,-16,108,203,463,613,673
  자본총계(비지배),,,,,,,
자본금,,4,4,44,53,56,56
영업활동현금흐름,,41,-5,-65,-239,57,62
투자활동현금흐름,,-17,-47,19,-120,-2,-2
재무활동현금흐름,,18,60,26,339,0,0
CAPEX,,8,40,1,19,1,2
FCF,,33,-45,-66,-258,55,60
이자발생부채,,64,87,75,136,,
영업이익률,,-6.12,24.25,13.07,-19.82,10.42,10.70
순이익률,,-5.56,17.36,8.07,-8.04,8.14,8.45
ROE(%),,,176.12,30.63,-7.10,9.30,9.33
ROA(%),,,16.79,9.19,-3.64,5.75,6.73
부채비율,,"-2,314.21",481.68,101.05,92.02,38.99,38.34
자본유보율,,-529.73,"2,769.53",350.93,757.58,,
EPS(원),,-126,"1,052",543,-226,468,562
PER(배),,,,,N/A,34.27,28.55
BPS(원),,-201,"1,277","2,302","4,335","5,743","6,305"
PBR(배),,0.00,0.00,0.00,4.42,2.79,2.55
현금DPS(원),0,13,0,0,,0,0
현금배당수익률,,,,,,0.00,0.00
현금배당성향(%),,-10.30,0.00,0.00,,,
발행주식수(보통주),"7,700,000","7,700,000","8,470,594","8,809,394","10,674,744",,
