주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,0,3,1,16,30
영업이익,-64,-57,-66,-93,-127
영업이익(발표기준),-64,-57,-66,-93,-127
세전계속사업이익,-64,-57,-92,330,-352
당기순이익,-64,-57,-92,330,-351
  당기순이익(지배),-64,-57,-92,331,-347
  당기순이익(비지배),,,,-1,-5
자산총계,97,104,24,640,553
부채총계,10,13,22,101,242
자본총계,88,91,2,539,310
  자본총계(지배),88,91,2,534,310
  자본총계(비지배),,,,5,1
자본금,24,27,27,32,35
영업활동현금흐름,-53,-50,-52,-136,-84
투자활동현금흐름,-3,-6,-12,-60,-111
재무활동현금흐름,38,83,-2,229,258
CAPEX,2,5,8,11,11
FCF,-55,-55,-60,-147,-94
이자발생부채,6,6,11,77,223
영업이익률,"-94,393.30","-2,263.52","-4,801.54",-589.48,-418.29
순이익률,"-94,583.60","-2,268.73","-6,706.45","2,096.99","-1,153.59"
ROE(%),-64.67,-63.98,-197.47,,-82.19
ROA(%),-58.75,-56.94,-143.49,,-58.94
부채비율,10.90,13.80,"1,438.54",18.67,78.10
자본유보율,99.74,147.81,-176.94,"1,525.45",751.74
EPS(원),"-1,361","-1,136","-1,699","5,605","-5,141"
PER(배),N/A,N/A,N/A,2.94,N/A
BPS(원),"1,791","1,692",29,"8,342","4,449"
PBR(배),8.32,12.41,573.40,1.98,4.02
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,896,163","5,392,726","5,392,726","6,398,899","6,558,421"
