주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,136,185,279,373,596
영업이익,12,11,51,76,96
영업이익(발표기준),12,11,51,76,96
세전계속사업이익,12,5,45,53,96
당기순이익,10,1,32,37,76
  당기순이익(지배),10,1,32,43,72
  당기순이익(비지배),,0,0,-6,4
자산총계,218,313,335,896,"1,017"
부채총계,26,288,308,595,463
자본총계,191,24,28,301,555
  자본총계(지배),191,24,22,298,533
  자본총계(비지배),,0,5,4,22
자본금,9,5,20,35,40
영업활동현금흐름,7,83,17,402,-67
투자활동현금흐름,-30,-38,31,-263,-197
재무활동현금흐름,90,,2,117,40
CAPEX,1,2,4,0,9
FCF,7,81,13,402,-76
이자발생부채,0,59,95,128,22
영업이익률,8.82,5.77,18.44,20.46,16.06
순이익률,7.49,0.73,11.50,9.98,12.82
ROE(%),,,138.53,26.97,17.34
ROA(%),,,9.89,6.04,7.99
부채비율,13.63,"1,179.61","1,118.61",197.33,83.49
자본유보율,"2,119.44",224.03,22.43,750.67,"1,272.49"
EPS(원),248,32,746,659,"1,002"
PER(배),,,,,27.14
BPS(원),"4,538",578,509,"4,224","6,721"
PBR(배),0.00,0.00,0.00,0.00,4.05
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"3,920,000","3,920,000","4,067,600","7,047,520","7,930,590"
