주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"2,850","2,733","3,563","3,436","4,184","6,060","7,680"
영업이익,193,220,616,-36,-164,520,"1,110"
영업이익(발표기준),193,220,616,-36,-164,,
세전계속사업이익,95,366,441,-607,-261,440,"1,030"
당기순이익,39,229,311,-627,-292,350,800
  당기순이익(지배),66,251,319,-488,-397,300,720
  당기순이익(비지배),-27,-21,-8,-138,105,,
자산총계,"3,081","2,820","5,216","8,017","11,049","10,410","11,500"
부채총계,"1,872","1,408","3,310","5,411","8,380","6,370","6,660"
자본총계,"1,209","1,412","1,906","2,606","2,668","4,040","4,850"
  자본총계(지배),"1,312","1,617","2,105","2,081","1,768","3,230","3,950"
  자본총계(비지배),-103,-205,-199,525,900,,
자본금,111,116,116,116,116,120,120
영업활동현금흐름,597,417,899,463,759,"1,920","2,680"
투자활동현금흐름,-580,-123,"-1,751","-2,818","-2,523","-2,650","-2,570"
재무활동현금흐름,-26,-411,"1,671","2,927","2,511",20,0
CAPEX,521,320,"1,730","2,970","2,896","2,500","2,500"
FCF,76,97,-831,"-2,507","-2,137",,
이자발생부채,"1,239",762,"2,238","4,510","6,738",,
영업이익률,6.77,8.06,17.29,-1.04,-3.92,8.58,14.45
순이익률,1.38,8.40,8.73,-18.24,-6.97,5.78,10.42
ROE(%),5.05,17.13,17.12,-23.33,-20.62,12.01,20.06
ROA(%),1.30,7.78,7.74,-9.47,-3.06,3.26,7.30
부채비율,154.91,99.70,173.63,207.63,314.08,157.67,137.32
자본유보율,"1,136.87","1,354.04","1,712.41","1,713.90","1,406.07",,
EPS(원),302,"1,104","1,380","-2,115","-1,721","1,301","3,122"
PER(배),31.29,8.89,17.43,N/A,N/A,23.17,9.66
BPS(원),"6,055","7,187","9,117","9,023","7,667","14,160","17,317"
PBR(배),1.56,1.37,2.64,4.71,5.00,2.13,1.74
현금DPS(원),100,100,270,,,0,0
현금배당수익률,1.06,1.02,1.12,,,0.00,0.00
현금배당성향(%),32.70,8.96,19.56,0.00,,,
발행주식수(보통주),"21,978,155","22,972,541","23,059,202","23,059,202","23,059,202",,
