주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,447,312,649,657,743
영업이익,130,65,122,113,148
영업이익(발표기준),130,65,122,113,148
세전계속사업이익,74,63,193,107,219
당기순이익,62,54,153,68,174
  당기순이익(지배),61,54,153,68,174
  당기순이익(비지배),0,0,0,0,0
자산총계,767,791,931,902,"1,017"
부채총계,166,166,182,167,158
자본총계,601,625,750,735,859
  자본총계(지배),599,623,748,735,847
  자본총계(비지배),2,,2,,12
자본금,26,26,26,26,26
영업활동현금흐름,12,130,6,97,100
투자활동현금흐름,81,-139,47,-41,3
재무활동현금흐름,9,-76,-26,-62,-57
CAPEX,1,2,102,4,1
FCF,10,128,-96,93,99
이자발생부채,40,1,2,0,4
영업이익률,29.07,20.97,18.87,17.22,19.96
순이익률,13.85,17.37,23.60,10.31,23.43
ROE(%),10.47,8.88,22.33,9.15,21.97
ROA(%),7.97,6.96,17.79,7.38,18.14
부채비율,27.70,26.55,24.22,22.72,18.33
자본유보율,"2,228.86","2,322.45","2,807.67","2,757.43","3,236.41"
EPS(원),"1,192","1,054","2,973","1,317","3,374"
PER(배),11.95,11.15,7.87,16.48,6.19
BPS(원),"11,656","12,123","14,555","14,298","16,649"
PBR(배),1.22,0.97,1.61,1.52,1.26
현금DPS(원),900,500,"1,200","1,000","1,000"
현금배당수익률,6.32,4.26,5.13,4.61,4.78
현금배당성향(%),75.35,47.37,40.29,75.79,29.27
발행주식수(보통주),"5,150,000","5,150,000","5,150,000","5,150,000","5,150,000"
