주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,50,60,71,85,241,422,718,"1,082"
영업이익,-17,-20,-5,-13,37,87,180,305
영업이익(발표기준),-17,-20,-5,-13,37,,,
세전계속사업이익,-18,-21,-76,-57,36,87,178,300
당기순이익,-18,-21,-76,-57,36,87,160,270
  당기순이익(지배),-18,-21,-76,-57,36,87,160,270
  당기순이익(비지배),,,,,,,,
자산총계,134,178,164,178,342,435,636,910
부채총계,74,88,322,116,149,168,210,170
자본총계,61,90,-158,61,194,267,426,740
  자본총계(지배),61,90,-158,61,194,267,426,740
  자본총계(비지배),,,,,,,,
자본금,17,20,10,20,23,40,40,50
영업활동현금흐름,-17,-32,-3,-12,-1,68,129,190
투자활동현금흐름,-16,-35,25,-17,-77,-40,-50,0
재무활동현금흐름,40,66,-8,28,88,15,6,10
CAPEX,1,14,6,7,43,29,33,10
FCF,-18,-45,-8,-19,-44,35,83,180
이자발생부채,64,74,304,94,88,,,
영업이익률,-32.92,-32.63,-6.71,-15.69,15.19,20.65,25.10,28.19
순이익률,-36.11,-34.33,-107.01,-66.56,15.10,20.53,22.25,24.95
ROE(%),-35.70,-27.59,223.76,117.77,28.51,37.70,46.09,46.29
ROA(%),-14.48,-13.31,-44.72,-33.33,13.99,22.32,29.81,34.92
부채비율,121.73,97.66,-203.52,188.84,76.80,63.17,49.24,22.97
자본유보율,249.21,349.63,"-1,587.64",224.48,761.44,,,
EPS(원),-350,-359,"-1,259",-843,407,943,"1,735","2,933"
PER(배),N/A,N/A,N/A,N/A,71.82,26.94,14.64,8.66
BPS(원),"1,096","1,483","-2,609",769,"2,119","2,897","4,633","8,038"
PBR(배),4.20,3.03,N/A,17.23,13.78,8.77,5.48,3.16
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,,0.00,0.00,,,,
발행주식수(보통주),"4,120,000","4,120,000","4,120,000","7,990,752","9,133,932",,,
