주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,235","1,314","1,360","1,603","1,931","2,199","2,378","2,600"
영업이익,286,226,264,291,348,413,452,498
영업이익(발표기준),286,226,264,291,348,,,
세전계속사업이익,232,251,302,280,396,424,470,519
당기순이익,196,208,243,230,335,338,386,425
  당기순이익(지배),196,208,242,229,335,348,386,425
  당기순이익(비지배),0,0,1,1,0,,,
자산총계,"1,376","1,564","1,810","1,969","2,408","2,620","2,952","3,322"
부채총계,116,156,196,263,526,398,414,430
자본총계,"1,261","1,407","1,615","1,706","1,882","2,223","2,538","2,893"
  자본총계(지배),"1,262","1,408","1,614","1,703","1,880","2,221","2,536","2,892"
  자본총계(비지배),-1,,0,3,2,,,
자본금,50,50,50,50,50,50,50,50
영업활동현금흐름,189,278,187,63,162,355,368,406
투자활동현금흐름,-84,-151,-116,-133,-115,-136,-150,-160
재무활동현금흐름,-55,-47,-20,-69,-30,-75,-75,-75
CAPEX,27,94,81,232,54,134,150,159
FCF,162,185,106,-169,107,320,310,350
이자발생부채,4,4,23,84,224,,,
영업이익률,23.19,17.17,19.43,18.14,18.02,18.78,18.99,19.17
순이익률,15.89,15.83,17.88,14.33,17.34,15.35,16.23,16.34
ROE(%),16.60,15.56,16.03,13.80,18.68,16.99,16.23,15.66
ROA(%),14.66,14.15,14.42,12.15,15.31,13.42,13.85,13.55
부채비율,9.17,11.11,12.12,15.41,27.95,17.88,16.29,14.85
자본유보율,"2,488.70","2,833.06","3,242.32","3,621.96","4,205.31",,,
EPS(원),"1,963","2,077","2,421","2,289","3,347","3,484","3,859","4,249"
PER(배),20.84,15.89,13.01,13.26,12.52,11.19,10.11,9.18
BPS(원),"12,696","14,287","16,379","18,019","20,479","24,189","27,625","31,491"
PBR(배),3.22,2.31,1.92,1.68,2.05,1.61,1.41,1.24
현금DPS(원),200,300,400,450,750,750,750,750
현금배당수익률,0.49,0.91,1.27,1.48,1.79,1.92,1.92,1.92
현금배당성향(%),10.12,14.23,16.28,18.57,20.57,21.52,19.43,17.65
발행주식수(보통주),"10,001,865","10,001,865","10,001,865","10,001,865","10,001,865",,,
