주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,,,203,226,249,287
영업이익,,,33,37,9,40
영업이익(발표기준),,,33,37,9,
세전계속사업이익,,,32,37,-103,38
당기순이익,,,25,29,-108,31
  당기순이익(지배),,,25,29,-105,
  당기순이익(비지배),,,,0,-3,
자산총계,,,150,208,602,
부채총계,,,71,69,239,
자본총계,,,80,139,363,
  자본총계(지배),,,80,136,311,
  자본총계(비지배),,,,3,53,
자본금,,,4,25,40,
영업활동현금흐름,,,-8,-14,96,
투자활동현금흐름,,,24,-13,-9,
재무활동현금흐름,,,-2,21,-4,
CAPEX,,,0,20,57,
FCF,,0,-9,-34,38,
이자발생부채,,0,50,50,182,
영업이익률,,,16.24,16.57,3.64,13.94
순이익률,,,12.46,12.95,-43.48,10.80
ROE(%),,,,,-47.18,
ROA(%),,,,,-26.69,
부채비율,,,88.59,49.74,65.79,
자본유보율,,,"1,892.79",421.17,617.21,
EPS(원),,,69,77,-268,
PER(배),,,,,N/A,
BPS(원),,,216,348,777,
PBR(배),,,,,19.76,
현금DPS(원),0,0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,0.00,
현금배당성향(%),,,0.00,0.00,,
발행주식수(보통주),"36,839,442","36,839,442","36,839,442","39,049,808","39,999,808",
