주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,570,569,584,565,562
영업이익,27,23,26,20,-21
영업이익(발표기준),27,23,26,20,-21
세전계속사업이익,36,23,23,28,-17
당기순이익,28,18,18,23,-5
  당기순이익(지배),28,18,18,23,-5
  당기순이익(비지배),,,,,
자산총계,538,529,706,813,"1,820"
부채총계,121,101,308,363,"1,042"
자본총계,417,428,398,449,777
  자본총계(지배),417,428,398,449,777
  자본총계(비지배),,,,,
자본금,125,125,125,125,152
영업활동현금흐름,16,-10,37,34,25
투자활동현금흐름,-55,23,-226,-67,28
재무활동현금흐름,-1,-19,181,41,-28
CAPEX,21,11,12,49,60
FCF,-5,-21,24,-15,-35
이자발생부채,91,81,280,335,804
영업이익률,4.67,4.06,4.38,3.56,-3.74
순이익률,5.00,3.12,3.10,4.13,-0.90
ROE(%),6.98,4.20,4.38,5.51,-0.82
ROA(%),5.30,3.33,2.93,3.08,-0.38
부채비율,29.05,23.65,77.44,80.93,134.07
자본유보율,233.74,242.23,248.18,264.87,438.36
EPS(원),114,71,72,93,-20
PER(배),18.97,26.13,29.94,71.87,N/A
BPS(원),"1,669","1,711","1,591","1,796","2,609"
PBR(배),1.29,1.08,1.36,3.74,1.77
현금DPS(원),30,30,35,35,35
현금배당수익률,1.39,1.62,1.62,0.52,0.76
현금배당성향(%),26.35,42.26,48.40,37.49,-206.77
발행주식수(보통주),"25,000,000","25,000,000","25,000,000","25,000,000","30,302,795"
