주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,362,440,479,350,381
영업이익,-16,6,14,-52,12
영업이익(발표기준),-16,6,14,-52,12
세전계속사업이익,-20,-10,20,-128,-33
당기순이익,-38,-17,24,-150,-30
  당기순이익(지배),-38,-17,24,-150,-30
  당기순이익(비지배),,,,,
자산총계,357,328,379,359,742
부채총계,263,242,182,253,253
자본총계,94,85,197,107,490
  자본총계(지배),94,85,197,107,490
  자본총계(비지배),,,,,
자본금,71,71,85,93,113
영업활동현금흐름,-16,18,32,-5,77
투자활동현금흐름,-87,2,-68,-126,-199
재무활동현금흐름,100,-23,72,95,296
CAPEX,107,22,22,16,4
FCF,-123,-4,10,-20,73
이자발생부채,141,118,82,118,129
영업이익률,-4.33,1.37,2.84,-14.74,3.04
순이익률,-10.41,-3.84,4.95,-42.87,-7.75
ROE(%),-39.38,-18.84,16.80,-98.76,-10.47
ROA(%),-11.85,-4.94,6.71,-40.59,-5.57
부채비율,278.97,284.17,92.38,237.35,51.68
자본유보율,12.16,-1.35,110.14,-19.79,242.57
EPS(원),-297,-119,162,-871,-134
PER(배),N/A,N/A,105.85,N/A,N/A
BPS(원),661,599,"1,155",573,"2,163"
PBR(배),2.91,1.95,14.89,13.41,3.82
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"14,247,866","14,247,866","17,047,866","18,599,180","22,636,305"
