주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"4,042","2,941","2,065","3,251","3,909","4,656","5,404"
영업이익,600,179,71,385,781,976,"1,200"
영업이익(발표기준),600,179,71,385,781,,
세전계속사업이익,524,205,148,306,928,"1,003","1,214"
당기순이익,430,219,118,216,724,779,943
  당기순이익(지배),428,218,121,213,719,775,937
  당기순이익(비지배),2,0,-3,2,5,,
자산총계,"4,385","4,285","4,464","4,812","5,660","6,979","8,116"
부채총계,771,497,526,713,813,"1,364","1,554"
자본총계,"3,614","3,788","3,938","4,098","4,848","5,615","6,562"
  자본총계(지배),"3,567","3,739","3,892","4,043","4,784","5,538","6,474"
  자본총계(비지배),48,,46,55,64,,
자본금,61,61,62,62,62,62,62
영업활동현금흐름,367,129,529,510,16,223,655
투자활동현금흐름,-325,-17,-221,-115,-69,17,-16
재무활동현금흐름,-24,-36,-140,-100,-32,44,-37
CAPEX,292,63,33,98,52,0,37
FCF,76,66,496,411,-36,265,616
이자발생부채,260,282,137,119,125,,
영업이익률,14.84,6.07,3.44,11.84,19.99,20.96,22.21
순이익률,10.64,7.44,5.74,6.63,18.51,16.73,17.45
ROE(%),12.70,5.98,3.17,5.38,16.29,15.02,15.60
ROA(%),10.15,5.05,2.71,4.65,13.82,12.33,12.49
부채비율,21.32,13.12,13.36,17.41,16.76,24.29,23.68
자본유보율,"5,741.72","6,028.08","6,225.40","6,557.66","7,665.05",,
EPS(원),"3,487","1,775",983,"1,733","5,835","6,291","7,606"
PER(배),31.26,27.21,105.13,67.51,20.48,17.58,14.54
BPS(원),"29,049","30,390","31,600","33,083","39,144","45,369","53,037"
PBR(배),3.75,1.59,3.27,3.54,3.05,2.44,2.09
현금DPS(원),200,100,150,300,900,400,430
현금배당수익률,0.18,0.21,0.15,0.26,0.75,0.36,0.39
현금배당성향(%),5.73,5.62,15.27,17.17,15.30,6.36,5.65
발행주식수(보통주),"12,280,626","12,280,626","12,319,550","12,319,550","12,319,550",,
