주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,239,215,187,107,177
영업이익,-64,12,-18,-65,8
영업이익(발표기준),-64,12,-18,-65,8
세전계속사업이익,698,880,-128,227,"2,636"
당기순이익,658,638,-74,212,"2,233"
  당기순이익(지배),658,640,-74,212,"2,233"
  당기순이익(비지배),,-1,0,0,
자산총계,"1,637","2,819","3,268","4,038","8,735"
부채총계,238,396,777,696,"2,073"
자본총계,"1,399","2,423","2,491","3,342","6,662"
  자본총계(지배),"1,399","2,423","2,491","3,342","6,662"
  자본총계(비지배),,,0,,
자본금,106,127,170,228,266
영업활동현금흐름,16,-6,-18,-7,-32
투자활동현금흐름,53,-235,"-1,214",182,"-1,215"
재무활동현금흐름,18,251,"1,198",350,"1,877"
CAPEX,1,12,1,1,9
FCF,14,-18,-19,-8,-41
이자발생부채,156,73,603,379,"1,236"
영업이익률,-26.94,5.40,-9.78,-60.50,4.37
순이익률,274.88,297.32,-39.75,197.65,"1,262.56"
ROE(%),68.90,33.48,-3.01,7.25,44.63
ROA(%),51.19,28.65,-2.44,5.79,34.96
부채비율,17.04,16.32,31.21,20.83,31.11
자본유보율,"1,149.90","1,722.62","1,374.66","1,358.01","2,358.09"
EPS(원),"3,119","2,569",-258,592,"4,876"
PER(배),7.00,2.83,N/A,13.29,4.96
BPS(원),"6,005","8,693","7,329","7,345","12,509"
PBR(배),3.63,0.84,1.05,1.07,1.93
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"23,296,562","27,873,523","33,991,523","45,502,014","50,682,971"
