주요재무정보,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,0,0,0
영업이익,0,0,-1
영업이익(발표기준),0,0,-1
세전계속사업이익,0,1,0
당기순이익,0,1,0
  당기순이익(지배),0,1,0
  당기순이익(비지배),0,0,0
자산총계,101,102,102
부채총계,9,9,9
자본총계,92,93,93
  자본총계(지배),92,93,93
  자본총계(비지배),,,
자본금,5,5,5
영업활동현금흐름,0,0,0
투자활동현금흐름,-85,0,-1
재무활동현금흐름,101,0,0
CAPEX,,,
FCF,,,
이자발생부채,9,9,9
영업이익률,,,
순이익률,,,
ROE(%),,0.65,-0.25
ROA(%),,0.59,-0.22
부채비율,9.64,9.89,10.23
자본유보율,"1,739.55","1,751.58","1,747.04"
EPS(원),-37,12,-5
PER(배),N/A,171.61,N/A
BPS(원),"1,840","1,852","1,847"
PBR(배),1.09,1.12,1.28
현금DPS(원),0,0,0
현금배당수익률,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,
발행주식수(보통주),"5,020,000","5,020,000","5,020,000"
