주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,654,641,711,573,650
영업이익,86,78,74,62,99
영업이익(발표기준),86,78,74,62,99
세전계속사업이익,124,103,102,79,120
당기순이익,96,78,81,62,92
  당기순이익(지배),96,78,81,61,91
  당기순이익(비지배),0,0,1,1,1
자산총계,"2,027","2,069","2,102","2,138","2,219"
부채총계,173,159,138,139,158
자본총계,"1,854","1,910","1,963","1,999","2,062"
  자본총계(지배),"1,850","1,906","1,959","1,994","2,056"
  자본총계(비지배),3,4,5,5,6
자본금,662,662,662,662,662
영업활동현금흐름,70,125,120,113,215
투자활동현금흐름,-83,-8,-133,3,-111
재무활동현금흐름,-22,-31,-33,-31,-20
CAPEX,15,11,7,31,11
FCF,54,114,114,83,205
이자발생부채,,0,3,5,5
영업이익률,13.14,12.17,10.47,10.83,15.20
순이익률,14.69,12.23,11.43,10.80,14.15
ROE(%),5.28,4.16,4.17,3.10,4.50
ROA(%),4.79,3.83,3.90,2.92,4.22
부채비율,9.35,8.33,7.05,6.96,7.65
자본유보율,180.97,189.36,196.50,201.97,212.73
EPS(원),72,59,61,46,69
PER(배),14.10,14.13,19.99,53.66,20.13
BPS(원),"1,397","1,439","1,479","1,506","1,552"
PBR(배),0.73,0.58,0.82,1.65,0.89
현금DPS(원),25,25,20,15,20
현금배당수익률,2.45,3.00,1.65,0.60,1.44
현금배당성향(%),34.55,42.40,32.90,32.39,29.08
발행주식수(보통주),"132,429,720","132,429,720","132,429,720","132,429,720","132,429,720"
