주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,148,89,74,164,489,,
영업이익,0,-19,-14,-51,12,,
영업이익(발표기준),0,-19,-14,-51,12,,
세전계속사업이익,0,-46,-40,-50,3,,
당기순이익,-31,-68,-60,-50,3,,
  당기순이익(지배),-31,-68,-59,-50,3,,
  당기순이익(비지배),,0,0,0,,,
자산총계,204,164,392,366,446,,
부채총계,108,60,229,130,155,,
자본총계,96,104,163,236,291,,
  자본총계(지배),96,104,163,236,291,,
  자본총계(비지배),,,0,0,,,
자본금,139,197,284,346,391,,
영업활동현금흐름,-7,15,-31,-86,-11,,
투자활동현금흐름,-28,-32,-231,71,32,,
재무활동현금흐름,33,51,282,-18,10,,
CAPEX,0,13,9,25,25,,
FCF,-7,2,-40,-111,-36,,
이자발생부채,30,10,148,99,76,,
영업이익률,0.10,-20.99,-19.23,-31.18,2.37,,
순이익률,-20.64,-76.04,-80.49,-30.52,0.57,,
ROE(%),-27.86,,-44.39,-25.12,0.93,,
ROA(%),-11.25,,-21.38,-13.23,0.66,,
부채비율,111.84,57.68,140.11,55.15,53.27,,
자본유보율,127.09,68.66,44.83,18.20,19.83,,
EPS(원),-128,-220,-133,-82,4,,
PER(배),N/A,N/A,N/A,N/A,577.11,,
BPS(원),334,264,287,342,373,,
PBR(배),3.76,2.35,2.92,2.08,5.93,,
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,
발행주식수(보통주),"28,902,121","39,456,342","56,821,162","69,111,364","78,155,673",,
