주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,455,686,"1,095","1,071","1,497","1,802","2,045"
영업이익,58,78,164,180,291,357,415
영업이익(발표기준),58,78,164,180,291,,
세전계속사업이익,56,49,160,190,276,355,415
당기순이익,45,35,131,156,232,300,345
  당기순이익(지배),45,38,132,157,232,300,345
  당기순이익(비지배),,-2,-1,0,,,
자산총계,235,376,919,"1,250","1,605","1,865","2,185"
부채총계,70,269,224,425,559,565,565
자본총계,164,107,694,825,"1,046","1,300","1,620"
  자본총계(지배),164,106,694,825,"1,046","1,300","1,620"
  자본총계(비지배),,,0,,,,
자본금,12,10,16,49,49,50,50
영업활동현금흐름,45,62,152,138,286,265,315
투자활동현금흐름,-21,-44,-164,-356,-315,-50,-50
재무활동현금흐름,47,-6,292,100,-36,-45,-45
CAPEX,5,18,11,23,98,10,20
FCF,40,45,141,115,188,330,360
이자발생부채,25,52,46,259,265,,
영업이익률,12.73,11.32,14.95,16.83,19.44,19.81,20.29
순이익률,9.90,5.14,11.99,14.61,15.47,16.67,16.87
ROE(%),37.70,,33.03,20.60,24.74,25.57,23.63
ROA(%),23.31,,20.29,14.43,16.22,17.32,17.04
부채비율,42.88,252.01,32.33,51.47,53.40,43.46,34.88
자본유보율,"1,309.33",903.89,"4,118.70","1,599.05","2,049.00",,
EPS(원),717,595,"1,783","1,587","2,347","3,041","3,497"
PER(배),,,11.29,9.90,9.18,8.55,7.44
BPS(원),"2,601","1,674","7,036","8,434","10,685","13,274","16,541"
PBR(배),0.00,0.00,2.86,1.86,2.02,1.96,1.57
현금DPS(원),100,100,134,140,450,378,412
현금배당수익률,,,0.66,0.89,2.09,1.45,1.59
현금배당성향(%),15.55,18.61,9.98,8.75,19.03,12.41,11.80
발행주식수(보통주),"5,989,090","5,989,090","9,865,828","9,865,828","9,865,828",,
