주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,795","1,523","1,642","1,282","1,128"
영업이익,29,-10,-46,66,-3
영업이익(발표기준),29,-10,-46,66,-3
세전계속사업이익,20,-14,-166,40,-157
당기순이익,5,-40,-139,23,-123
  당기순이익(지배),5,-40,-140,22,-124
  당기순이익(비지배),0,0,0,1,1
자산총계,"2,535","2,365","2,214","2,136","2,111"
부채총계,"1,251","1,128","1,114",972,"1,007"
자본총계,"1,284","1,237","1,100","1,164","1,104"
  자본총계(지배),"1,283","1,234","1,097","1,161","1,097"
  자본총계(비지배),1,,3,3,6
자본금,130,130,130,140,140
영업활동현금흐름,12,182,280,165,51
투자활동현금흐름,-125,41,-215,-21,-141
재무활동현금흐름,86,-166,-28,4,-57
CAPEX,57,35,90,36,58
FCF,-46,147,191,128,-8
이자발생부채,903,744,734,696,719
영업이익률,1.62,-0.65,-2.83,5.15,-0.30
순이익률,0.30,-2.65,-8.47,1.77,-10.90
ROE(%),0.41,-3.19,-11.97,1.97,-10.98
ROA(%),0.21,-1.65,-6.08,1.05,-5.79
부채비율,97.46,91.19,101.27,83.55,91.28
자본유보율,865.37,839.40,726.18,712.32,625.56
EPS(원),20,-154,-537,84,-443
PER(배),295.07,N/A,N/A,34.28,N/A
BPS(원),"5,129","4,934","4,416","4,355","4,118"
PBR(배),1.18,0.77,0.46,0.66,0.57
현금DPS(원),30,20,20,30,20
현금배당수익률,0.50,0.53,0.99,1.05,0.85
현금배당성향(%),140.98,-12.46,-3.56,35.97,-4.30
발행주식수(보통주),"26,000,000","26,000,000","26,000,000","28,000,000","28,000,000"
