주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,153,112,72,9,386
영업이익,3,-57,-35,-48,-2
영업이익(발표기준),3,-57,-35,-48,-2
세전계속사업이익,-77,-212,-262,-81,-26
당기순이익,-215,-236,-314,-71,-24
  당기순이익(지배),-215,-235,-313,-71,-24
  당기순이익(비지배),,-1,-1,,
자산총계,708,667,282,599,661
부채총계,380,387,313,373,453
자본총계,328,280,-31,226,209
  자본총계(지배),328,280,-33,226,209
  자본총계(비지배),,0,2,,
자본금,180,231,231,354,354
영업활동현금흐름,-237,-9,-25,-122,-41
투자활동현금흐름,-68,-189,-152,-175,109
재무활동현금흐름,499,270,-70,419,-182
CAPEX,0,12,0,0,4
FCF,-237,-22,-25,-123,-45
이자발생부채,202,270,282,334,264
영업이익률,2.23,-50.80,-48.54,-531.13,-0.60
순이익률,-140.72,-209.60,-434.80,-795.14,-6.22
ROE(%),,-77.17,-253.29,-71.87,-11.07
ROA(%),,-34.27,-66.16,-15.57,-3.82
부채비율,116.00,137.98,-999.35,165.06,217.11
자본유보율,152.11,79.45,-51.99,30.62,25.72
EPS(원),"-28,412","-19,214","-24,442",-695,-68
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"32,786","21,891","-2,591",639,590
PBR(배),0.08,0.12,N/A,2.43,2.63
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"999,629","1,281,351","1,281,351","35,351,956","35,351,956"
