주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,344,470,446,360,364
영업이익,-28,20,29,-21,-4
영업이익(발표기준),-28,20,29,-21,-4
세전계속사업이익,-8,44,52,36,143
당기순이익,-4,39,44,36,115
  당기순이익(지배),-4,39,44,36,115
  당기순이익(비지배),,,,,
자산총계,"1,016","1,059","1,179","1,255","1,447"
부채총계,139,153,229,269,340
자본총계,877,907,950,986,"1,107"
  자본총계(지배),877,907,950,986,"1,107"
  자본총계(비지배),,,,,
자본금,105,105,107,107,107
영업활동현금흐름,49,59,-17,30,55
투자활동현금흐름,-136,-36,-42,-8,-153
재무활동현금흐름,88,-6,79,44,62
CAPEX,9,6,9,9,2
FCF,40,53,-26,21,53
이자발생부채,111,105,199,242,309
영업이익률,-8.02,4.35,6.58,-5.92,-1.04
순이익률,-1.06,8.35,9.86,10.10,31.75
ROE(%),-0.42,4.40,4.73,3.76,11.03
ROA(%),-0.38,3.78,3.92,2.99,8.54
부채비율,15.85,16.83,24.15,27.27,30.74
자본유보율,735.75,776.19,792.81,826.66,939.02
EPS(원),-18,188,208,169,537
PER(배),N/A,9.38,8.92,10.80,6.17
BPS(원),"4,193","4,442","4,525","4,698","5,274"
PBR(배),0.47,0.40,0.41,0.39,0.63
현금DPS(원),0,50,0,50,50
현금배당수익률,0.00,2.84,0.00,2.73,1.51
현금배당성향(%),0.00,26.01,0.00,28.83,9.09
발행주식수(보통주),"20,916,684","20,916,684","21,491,029","21,491,029","21,491,029"
