주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"2,848","3,286","3,650","4,067","4,369","4,969","5,710"
영업이익,362,453,484,541,453,555,690
영업이익(발표기준),362,453,484,541,453,,
세전계속사업이익,448,560,478,715,409,530,670
당기순이익,348,446,374,566,306,420,540
  당기순이익(지배),351,452,382,556,308,420,540
  당기순이익(비지배),-3,-6,-8,10,-2,,
자산총계,"2,160","2,514","3,003","4,165","4,369","4,830","5,390"
부채총계,917,837,"1,021","1,730","1,663","1,770","1,850"
자본총계,"1,243","1,677","1,982","2,435","2,706","3,060","3,530"
  자본총계(지배),"1,227","1,633","1,945","2,388","2,661","3,020","3,490"
  자본총계(비지배),14,,37,47,45,,
자본금,31,41,45,49,54,60,70
영업활동현금흐름,302,209,421,465,556,490,620
투자활동현금흐름,-117,-255,-288,"-1,245",140,-200,-210
재무활동현금흐름,51,-91,-16,676,-399,-30,-30
CAPEX,85,103,193,377,407,180,180
FCF,217,106,229,88,149,310,440
이자발생부채,363,269,365,"1,008",796,,
영업이익률,12.72,13.77,13.26,13.31,10.36,11.17,12.08
순이익률,12.20,13.57,10.25,13.91,7.00,8.45,9.46
ROE(%),32.39,31.64,21.36,25.66,12.18,14.79,16.59
ROA(%),17.59,19.08,13.56,15.79,7.17,9.13,10.57
부채비율,73.79,49.91,51.52,71.05,61.43,57.84,52.41
자본유보율,"3,922.65","3,949.57","4,282.45","4,882.60","4,896.90",,
EPS(원),"2,938","3,790","3,201","4,657","2,577","3,519","4,524"
PER(배),17.44,14.24,13.98,12.08,18.51,11.05,8.60
BPS(원),"10,286","13,692","16,316","20,171","22,484","25,518","29,490"
PBR(배),4.98,3.94,2.74,2.79,2.12,1.52,1.32
현금DPS(원),311,547,527,497,546,546,546
현금배당수익률,0.61,1.01,1.18,0.88,1.14,1.40,1.40
현금배당성향(%),10.58,14.43,16.43,10.57,20.99,15.52,12.07
발행주식수(보통주),"11,935,549","11,935,549","11,935,549","11,935,549","11,935,549",,
