주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,523,478,841,628,633
영업이익,91,79,87,72,20
영업이익(발표기준),91,79,87,72,20
세전계속사업이익,99,-164,-11,85,172
당기순이익,81,-136,-16,63,177
  당기순이익(지배),81,-79,-6,82,181
  당기순이익(비지배),,-57,-9,-19,-4
자산총계,927,"1,304","1,899","1,747","2,319"
부채총계,122,420,723,361,620
자본총계,805,884,"1,176","1,386","1,699"
  자본총계(지배),805,846,"1,112","1,332","1,622"
  자본총계(비지배),,38,64,55,78
자본금,75,83,102,110,120
영업활동현금흐름,50,59,86,64,-2
투자활동현금흐름,-150,-153,-588,220,122
재무활동현금흐름,-56,363,363,-78,52
CAPEX,393,6,4,23,18
FCF,-343,53,82,41,-20
이자발생부채,7,272,401,223,205
영업이익률,17.37,16.58,10.31,11.49,3.13
순이익률,15.42,-28.48,-1.84,10.04,27.90
ROE(%),10.03,,-0.64,6.72,12.22
ROA(%),8.89,,-0.97,3.45,8.69
부채비율,15.16,47.48,61.46,26.02,36.46
자본유보율,995.14,946.99,"1,010.35","1,132.60","1,270.36"
EPS(원),528,-509,-36,392,771
PER(배),14.85,N/A,N/A,36.51,12.38
BPS(원),"5,345","5,109","5,525","6,155","6,999"
PBR(배),1.47,2.84,2.02,2.32,1.36
현금DPS(원),246,64,0,0,0
현금배당수익률,3.14,0.44,0.00,0.00,0.00
현금배당성향(%),45.97,-13.49,0.00,0.00,
발행주식수(보통주),"15,291,890","16,782,808","20,359,707","22,064,690","23,605,146"
