주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,674","1,828","1,985","1,323","1,574"
영업이익,64,107,80,10,66
영업이익(발표기준),64,107,80,10,66
세전계속사업이익,51,107,76,11,85
당기순이익,41,89,59,8,61
  당기순이익(지배),41,89,59,8,61
  당기순이익(비지배),,,,,
자산총계,"2,075","2,048","1,956","1,723","2,111"
부채총계,"1,348","1,265","1,128",902,"1,141"
자본총계,727,783,829,821,971
  자본총계(지배),727,783,829,821,971
  자본총계(비지배),,,,,
자본금,115,115,117,118,120
영업활동현금흐름,152,156,56,-77,134
투자활동현금흐름,-49,63,-5,-73,-4
재무활동현금흐름,-24,-24,-37,-31,-31
CAPEX,5,8,6,3,5
FCF,147,148,51,-81,129
이자발생부채,0,0,16,36,29
영업이익률,3.84,5.87,4.01,0.78,4.19
순이익률,2.44,4.89,2.99,0.58,3.91
ROE(%),5.73,11.83,7.36,0.93,6.86
ROA(%),2.07,4.33,2.96,0.42,3.21
부채비율,185.30,161.60,136.08,109.95,117.48
자본유보율,414.46,462.92,474.98,462.21,488.02
EPS(원),356,777,515,65,516
PER(배),14.24,6.58,9.69,83.01,12.44
BPS(원),"6,537","7,035","7,312","7,153","8,366"
PBR(배),0.78,0.73,0.68,0.76,0.77
현금DPS(원),220,220,220,220,220
현금배당수익률,4.34,4.31,4.41,4.05,3.43
현금배당성향(%),59.80,27.40,42.04,329.34,41.53
발행주식수(보통주),"11,498,750","11,498,750","11,704,050","11,845,050","11,975,050"
