주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,93,144,180,153,177,316,456
영업이익,7,15,37,28,0,48,126
영업이익(발표기준),7,15,37,28,0,,
세전계속사업이익,6,10,31,40,3,47,125
당기순이익,5,10,30,36,1,46,123
  당기순이익(지배),5,10,30,36,1,46,123
  당기순이익(비지배),,,,,,,
자산총계,160,270,329,343,363,,
부채총계,80,130,159,147,164,,
자본총계,80,140,170,196,199,,
  자본총계(지배),80,140,170,196,199,,
  자본총계(비지배),,,,,,,
자본금,5,6,6,30,30,,
영업활동현금흐름,-5,10,39,49,-22,,
투자활동현금흐름,-7,-46,-45,-81,82,,
재무활동현금흐름,5,79,30,-24,12,,
CAPEX,4,46,44,21,10,,
FCF,-10,-36,-6,28,-32,,
이자발생부채,58,86,116,115,128,,
영업이익률,6.96,10.65,20.30,18.44,-0.17,15.19,27.63
순이익률,5.82,6.63,16.63,23.14,0.53,14.56,26.97
ROE(%),7.02,8.69,19.36,19.41,0.48,,
ROA(%),3.57,4.45,10.00,10.57,0.27,,
부채비율,99.36,93.29,93.90,74.80,82.61,,
자본유보율,"1,683.03","2,427.61","2,962.72",558.02,567.06,,
EPS(원),111,184,501,595,16,587,"1,544"
PER(배),,,,,,28.60,10.88
BPS(원),"1,645","2,338","2,839","3,303","3,346",,
PBR(배),0.00,0.00,0.00,0.00,0.00,,
현금DPS(원),0,0,0,0,,,
현금배당수익률,,,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"4,220,000","4,220,000","4,220,000","5,940,000","5,940,000",,
