주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,806,794,926,882,"1,168","1,447","1,717","1,942"
영업이익,242,171,226,151,282,391,491,647
영업이익(발표기준),242,171,226,151,282,,,
세전계속사업이익,241,180,220,151,266,394,494,655
당기순이익,193,146,176,115,190,299,380,511
  당기순이익(지배),193,146,176,115,190,299,380,511
  당기순이익(비지배),,,,,0,,,
자산총계,"1,205","1,460","1,811","1,942","2,319","2,546","2,891","3,178"
부채총계,182,248,497,592,545,523,544,340
자본총계,"1,024","1,213","1,315","1,349","1,775","2,022","2,347","2,838"
  자본총계(지배),"1,024","1,213","1,315","1,349","1,775","2,032","2,382","2,838"
  자본총계(비지배),,,,,0,,,
자본금,54,55,57,58,65,64,66,65
영업활동현금흐름,113,92,235,170,143,342,433,641
투자활동현금흐름,-26,-176,-326,-161,-178,-136,-132,-68
재무활동현금흐름,-96,92,97,25,45,-70,-65,-76
CAPEX,55,133,159,265,107,124,108,50
FCF,58,-41,76,-95,36,278,356,
이자발생부채,19,60,204,331,243,,,
영업이익률,30.06,21.56,24.43,17.17,24.11,27.01,28.57,33.32
순이익률,23.91,18.38,18.96,13.09,16.28,20.69,22.11,26.31
ROE(%),19.97,13.05,13.89,8.67,12.19,15.73,17.21,19.58
ROA(%),16.94,10.95,10.73,6.15,8.93,12.31,13.97,16.84
부채비율,17.73,20.42,37.78,43.90,30.69,25.87,23.16,11.98
자본유보율,"1,944.55","2,141.63","2,327.77","2,399.43","2,809.14",,,
EPS(원),"1,579","1,195","1,434",943,"1,497","2,265","2,875","3,866"
PER(배),22.22,19.17,17.65,22.23,18.31,13.75,10.83,8.06
BPS(원),"8,552","9,980","10,974","11,498","13,955","15,970","18,722","22,301"
PBR(배),4.10,2.30,2.31,1.82,1.96,1.95,1.66,1.40
현금DPS(원),265,270,278,286,442,510,497,600
현금배당수익률,0.75,1.18,1.10,1.37,1.61,1.64,1.60,1.93
현금배당성향(%),16.40,22.45,18.94,29.03,29.46,22.54,17.30,15.52
발행주식수(보통주),"12,209,621","12,242,960","12,242,960","12,242,960","13,216,478",,,
