주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"2,578","3,010","2,887","2,554","3,239","3,726","3,750","3,780"
영업이익,122,190,131,116,164,191,196,200
영업이익(발표기준),122,190,131,116,164,,,
세전계속사업이익,124,181,139,124,166,193,197,200
당기순이익,99,141,106,94,131,145,148,150
  당기순이익(지배),99,141,106,94,131,150,150,150
  당기순이익(비지배),0,,,,,,,
자산총계,"1,429","1,227","1,290","1,303","1,563","1,680","1,790","1,920"
부채총계,602,345,391,339,518,520,520,530
자본총계,827,883,900,964,"1,046","1,160","1,270","1,390"
  자본총계(지배),827,883,900,964,"1,046","1,160","1,270","1,390"
  자본총계(비지배),,,,,,,,
자본금,208,208,208,208,208,210,210,210
영업활동현금흐름,93,98,80,126,34,140,170,170
투자활동현금흐름,11,209,-51,-38,-1,-100,-110,-130
재무활동현금흐름,-120,-302,-36,-37,-37,-30,-30,-30
CAPEX,13,12,17,11,23,20,20,20
FCF,81,86,63,116,11,,,
이자발생부채,271,0,4,2,5,,,
영업이익률,4.72,6.31,4.52,4.55,5.06,5.13,5.23,5.29
순이익률,3.83,4.69,3.66,3.68,4.03,3.89,3.95,3.97
ROE(%),12.39,16.50,11.87,10.10,13.00,13.60,12.35,11.28
ROA(%),6.49,10.62,8.40,7.26,9.12,8.94,8.53,8.09
부채비율,72.79,39.07,43.41,35.17,49.51,44.83,40.94,38.13
자본유보율,297.34,324.12,332.33,363.26,402.47,,,
EPS(원),237,339,254,226,314,360,360,360
PER(배),9.65,19.40,18.82,20.40,24.93,18.18,18.18,18.18
BPS(원),"1,985","2,119","2,160","2,315","2,511","2,786","3,050","3,338"
PBR(배),1.15,3.10,2.21,1.99,3.11,2.35,2.15,1.96
현금DPS(원),75,80,80,80,80,80,80,80
현금배당수익률,3.28,1.22,1.67,1.74,1.02,1.22,1.22,1.22
현금배당성향(%),31.61,23.62,31.50,35.40,25.50,22.21,22.21,22.21
발행주식수(보통주),"41,642,703","41,642,703","41,642,703","41,642,703","41,642,703",,,
